SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
HASCOL,21.91,22.10,22.43,20.27,20.50,-1.41,-6.44%,"48,688,500"
TRG,52.44,53.40,55.40,52.40,53.03,0.59,1.13%,"34,543,500"
KEL,4.22,4.32,4.37,4.17,4.21,-0.01,-0.24%,"30,213,000"
UNITY,17.96,18.18,18.20,17.25,17.45,-0.51,-2.84%,"21,245,000"
BYCO,11.01,11.24,11.30,10.01,10.15,-0.86,-7.81%,"16,560,500"
PIBTL,13.33,13.30,13.42,12.39,12.56,-0.77,-5.78%,"15,732,500"
ASL,16.09,15.92,16.74,15.50,15.83,-0.26,-1.62%,"13,348,500"
MLCF,38.73,38.50,39.05,35.83,36.15,-2.58,-6.66%,"12,328,500"
BOP,9.80,9.89,9.90,9.67,9.70,-0.10,-1.02%,"11,019,500"
PTC,11.69,11.84,11.99,11.10,11.20,-0.49,-4.19%,"10,937,000"
FFL,17.38,17.54,17.60,16.08,16.14,-1.24,-7.13%,"8,459,000"
PRL,20.64,20.80,20.80,19.10,19.13,-1.51,-7.32%,"7,836,000"
POWER,9.44,9.44,9.44,8.82,8.97,-0.54,-5.68%,"7,685,500"
PAEL,36.43,36.55,36.89,33.70,34.15,-2.28,-6.26%,"7,535,500"
SILK,1.06,1.08,1.09,1.00,1.01,-0.05,-4.72%,"5,870,000"
WTL,1.18,1.18,1.22,1.08,1.12,-0.06,-5.08%,"5,810,000"
AVN,64.79,64.75,68.22,60.31,62.38,-2.41,-3.72%,"5,313,000"
DGKC,109.68,109.89,109.89,103.37,104.31,-5.37,-4.90%,"5,310,000"
ASC,20.21,20.30,20.80,20.00,20.01,-0.20,-0.99%,"5,127,500"
ITTEFAQ,15.77,15.99,16.95,15.99,16.95,1.18,7.48%,"5,111,000"
EPCL,44.00,44.10,44.45,41.00,41.52,-2.48,-5.64%,"4,995,000"
JSBL,6.79,6.65,7.15,6.65,6.80,0.01,0.15%,"4,857,000"
KAPCO,27.55,27.70,27.94,26.10,26.50,-1.05,-3.81%,"4,768,000"
