SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
HASCOL,21.08,21.12,22.35,21.02,21.91,0.83,3.94%,"57,515,000"
UNITY,18.04,18.39,18.54,17.80,17.96,-0.08,-0.44%,"47,495,500"
BYCO,10.01,9.97,11.01,9.82,11.01,1.00,9.99%,"28,432,000"
PIBTL,13.27,13.25,13.65,13.21,13.33,0.06,0.45%,"21,242,500"
TRG,54.53,54.75,55.68,51.51,52.44,-2.09,-3.83%,"20,798,000"
AKBL,19.00,18.82,19.29,18.81,18.99,-0.01,-0.05%,"19,283,500"
KEL,4.18,4.20,4.25,4.10,4.22,0.06,1.44%,"17,541,500"
ASLPS,18.50,19.85,19.88,17.30,17.55,-0.95,-5.14%,"16,767,500"
PRL,20.53,20.67,21.10,20.26,20.64,0.11,0.54%,"11,914,500"
KAPCO,26.51,26.53,28.15,26.31,27.55,1.04,3.92%,"11,362,500"
PTC,11.72,11.78,12.11,11.65,11.69,-0.03,-0.26%,"11,278,500"
MLCF,39.79,39.41,40.15,38.40,38.73,-1.06,-2.66%,"11,139,000"
POWER,9.49,9.49,9.69,9.35,9.44,-0.05,-0.53%,"9,897,000"
PAEL,36.68,36.60,37.40,36.25,36.43,-0.25,-0.68%,"8,645,500"
AHCL,41.66,42.00,44.25,42.00,42.51,0.85,2.04%,"7,128,000"
FFL,17.34,17.50,17.89,17.35,17.38,0.04,0.23%,"7,057,000"
JSCL,29.57,29.35,30.30,28.51,28.80,-0.77,-2.60%,"6,003,500"
BOP,9.82,9.80,9.95,9.72,9.80,-0.02,-0.20%,"5,598,500"
ASL,16.23,16.50,16.50,15.95,16.09,-0.14,-0.86%,"4,729,500"
DGKC,112.96,112.01,112.99,109.10,109.68,-3.28,-2.90%,"4,373,500"
FCCL,21.14,21.25,21.25,20.80,20.81,-0.33,-1.56%,"4,039,500"
PPL,92.88,92.38,94.23,92.02,92.42,-0.46,-0.50%,"3,321,817"
ASTL,45.96,45.90,47.00,45.20,45.65,-0.31,-0.67%,"3,021,000"
FFBL,22.56,22.59,22.65,21.70,21.91,-0.65,-2.88%,"2,559,500"
NCL,41.55,41.15,43.35,41.15,41.79,0.24,0.58%,"2,545,500"
SNGP,64.05,64.00,64.99,63.50,63.72,-0.33,-0.52%,"2,500,500"
OGDC,104.79,105.00,105.80,103.53,104.10,-0.69,-0.66%,"2,478,158"
SILK,1.08,1.08,1.12,1.04,1.06,-0.02,-1.85%,"2,425,000"
WTL,1.19,1.21,1.23,1.17,1.18,-0.01,-0.84%,"2,161,500"
TOMCL,31.38,31.60,32.15,30.00,30.39,-0.99,-3.15%,"2,086,500"
SEARL,271.38,273.50,277.47,267.11,270.78,-2.59,-0.95%,"2,085,800"
AVN,67.27,67.11,67.89,64.15,64.79,-2.48,-3.69%,"2,072,500"
ISL,79.71,79.25,82.00,79.25,80.34,0.63,0.79%,"2,048,000"
ATRL,157.41,155.00,160.00,155.00,156.94,-0.47,-0.30%,"2,010,000"
DCL,11.18,11.28,11.30,11.01,11.16,-0.02,-0.18%,"1,941,000"
DOL,46.59,47.78,49.89,45.99,48.36,1.77,3.80%,"1,939,500"
STPL,13.88,14.10,14.25,13.90,14.02,0.14,1.01%,"1,904,000"
SNBL,9.45,9.50,9.90,9.30,9.35,-0.10,-1.06%,"1,862,500"
EPCL,44.80,45.00,45.20,43.80,44.00,-0.80,-1.79%,"1,705,500"
ASC,20.57,20.54,20.90,20.01,20.21,-0.36,-1.75%,"1,704,000"
PSO,205.62,206.00,208.90,203.15,204.77,-0.85,-0.41%,"1,633,609"
LOTCHEM,12.74,12.74,12.75,12.51,12.56,-0.18,-1.41%,"1,514,500"
NETSOL,62.65,62.10,64.25,62.10,62.89,0.24,0.38%,"1,450,500"
HUBC,81.26,81.98,82.70,80.75,81.37,0.11,0.14%,"1,443,739"
LUCK,663.68,661.50,661.50,649.00,650.45,-13.23,-1.99%,"1,413,424"
TREET,25.72,25.90,26.10,25.06,25.29,-0.43,-1.67%,"1,359,500"
ILP,68.90,69.90,70.74,67.50,69.79,0.89,1.29%,"1,332,500"
NRL,192.54,192.00,200.50,191.00,198.22,5.68,2.95%,"1,323,000"
NBP,40.02,40.02,40.99,39.40,40.26,0.24,0.60%,"1,248,500"
SSGC,16.50,16.64,16.80,16.35,16.42,-0.08,-0.48%,"1,207,000"
PIOC,98.25,97.50,98.50,95.05,96.26,-1.99,-2.03%,"1,193,000"
GHNI,269.72,271.00,276.00,265.03,268.03,-1.69,-0.63%,"1,077,600"
FEROZ,419.71,431.00,436.50,413.00,415.80,-3.91,-0.93%,"1,052,700"
WAVES,28.88,28.91,29.40,28.60,28.94,0.06,0.21%,"989,500"
ITTEFAQ,15.15,15.29,15.85,15.29,15.77,0.62,4.09%,"973,000"
NRSL,9.61,9.60,9.97,9.50,9.77,0.16,1.66%,"964,500"
DEL,5.30,5.27,5.75,5.27,5.75,0.45,8.49%,"930,000"
EFERTXD,61.93,62.00,62.10,61.45,61.67,-0.26,-0.42%,"914,034"
SPL,23.98,24.23,25.33,23.70,23.92,-0.06,-0.25%,"910,000"
MUGHAL,68.11,68.11,68.70,66.50,67.06,-1.05,-1.54%,"861,000"
JSBL,7.01,6.98,7.00,6.66,6.79,-0.22,-3.14%,"838,000"
DSLDEF,4.75,4.87,4.90,4.65,4.69,-0.06,-1.26%,"827,000"
FNEL,19.47,19.49,19.90,18.91,19.08,-0.39,-2.00%,"777,000"
PIAA,5.00,4.96,5.10,4.90,5.02,0.02,0.40%,"765,500"
UBL,124.10,124.70,124.70,120.03,122.10,-2.00,-1.61%,"754,363"
MEBLXB,80.20,80.20,81.00,80.00,80.39,0.19,0.24%,"747,000"
DAWHXD,129.14,129.89,130.80,126.02,127.91,-1.23,-0.95%,"691,600"
NML,105.04,104.60,106.99,104.50,106.43,1.11,1.05%,"687,000"
BIPL,10.66,10.66,11.20,10.60,11.09,0.43,4.03%,"684,500"
SHEL,247.10,248.50,265.63,245.00,265.63,18.53,7.50%,"665,300"
ANL,19.35,19.41,19.50,18.76,18.87,-0.50,-2.58%,"665,000"
HUMNL,8.06,8.05,8.19,7.90,7.98,-0.08,-0.99%,"660,500"
INIL,154.55,154.50,157.98,153.00,153.76,-0.79,-0.51%,"659,500"
ENGROXD,305.07,304.90,309.26,304.00,306.44,1.37,0.45%,"652,850"
LPL,13.47,13.50,13.96,13.36,13.55,0.08,0.59%,"614,000"
GGL,15.44,15.64,15.69,14.75,15.11,-0.33,-2.14%,"590,000"
