SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
SILK,1.00,1.00,1.18,0.99,1.06,0.06,6.00%,"167,490,500"
UNITY,17.95,17.25,18.50,17.25,18.01,0.06,0.33%,"51,805,500"
JSCL,29.06,29.89,31.23,29.00,31.23,2.17,7.47%,"36,252,000"
PTC,11.62,11.69,12.30,11.56,11.77,0.15,1.29%,"27,156,000"
HASCOL,20.91,20.96,21.49,20.68,21.04,0.13,0.62%,"26,982,500"
BOP,9.53,9.60,10.05,9.60,9.81,0.28,2.94%,"17,132,500"
ASL,16.43,16.50,16.95,15.76,15.97,-0.46,-2.80%,"15,180,500"
KEL,4.13,4.13,4.28,4.09,4.21,0.08,1.94%,"14,590,500"
FFBL,22.48,22.50,23.60,22.20,23.34,0.86,3.83%,"13,635,000"
MLCF,39.58,39.85,40.45,39.50,39.68,0.10,0.25%,"12,738,500"
FFL,17.85,17.98,18.25,17.45,17.59,-0.26,-1.46%,"11,885,500"
PIBTL,13.58,13.65,13.80,13.41,13.47,-0.11,-0.81%,"10,002,500"
PRL,21.01,21.10,21.46,20.61,21.06,0.05,0.24%,"9,423,500"
KAPCO,26.25,26.30,27.33,26.06,26.79,0.54,2.06%,"9,081,000"
POWER,9.21,9.20,9.39,9.15,9.20,-0.01,-0.11%,"8,027,000"
TRG,56.56,56.91,57.20,56.16,56.45,-0.11,-0.19%,"6,812,500"
FCCL,20.93,21.00,21.20,20.85,21.00,0.07,0.33%,"6,399,000"
STPL,13.75,13.64,14.60,13.64,14.16,0.41,2.98%,"6,085,500"
DGKC,112.10,113.50,115.30,112.90,113.22,1.12,1.00%,"5,838,000"
WTL,1.23,1.22,1.25,1.20,1.21,-0.02,-1.63%,"5,804,500"
DCL,11.29,11.31,11.85,11.30,11.45,0.16,1.42%,"5,355,500"
SNGP,63.71,64.29,65.84,64.02,64.75,1.04,1.63%,"4,498,500"
TOMCL,29.06,29.34,31.23,29.34,30.95,1.89,6.50%,"4,116,500"
ILP,59.63,59.65,64.10,58.99,64.10,4.47,7.50%,"4,001,000"
