SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
HASCOL,20.18,19.30,19.84,18.67,18.67,-1.51,-7.48%,"67,646,000"
KEL,4.21,4.21,4.22,4.10,4.15,-0.06,-1.43%,"28,892,000"
UNITY,16.65,16.55,16.81,15.76,16.16,-0.49,-2.94%,"26,060,500"
TRG,52.16,52.16,53.40,48.71,50.11,-2.05,-3.93%,"20,479,500"
PIBTL,12.36,12.30,12.70,12.07,12.54,0.18,1.46%,"17,342,500"
MLCF,35.89,35.95,36.98,34.32,36.55,0.66,1.84%,"12,096,000"
PRL,18.67,18.57,18.95,17.52,18.21,-0.46,-2.46%,"11,606,500"
BYCO,10.18,10.07,10.47,9.81,10.04,-0.14,-1.38%,"9,034,500"
FFL,16.02,16.00,16.18,15.03,15.49,-0.53,-3.31%,"8,952,000"
FCCL,19.88,19.88,20.20,19.40,20.09,0.21,1.06%,"8,682,000"
DGKC,103.11,103.80,110.00,102.37,108.17,5.06,4.91%,"8,100,500"
EPCL,40.26,40.30,42.90,39.30,42.48,2.22,5.51%,"7,081,000"
POWER,8.83,8.75,8.94,8.44,8.71,-0.12,-1.36%,"6,920,000"
JSCL,25.65,25.60,26.70,25.00,26.15,0.50,1.95%,"6,411,500"
AVN,67.22,67.49,71.29,63.21,70.40,3.18,4.73%,"6,112,500"
PTC,10.81,10.76,10.97,10.46,10.61,-0.20,-1.85%,"5,739,000"
SILK,1.12,1.10,1.12,1.05,1.06,-0.06,-5.36%,"5,707,000"
WTL,1.15,1.15,1.18,1.05,1.10,-0.05,-4.35%,"5,425,500"
PAEL,33.06,32.65,33.06,31.50,32.39,-0.67,-2.03%,"4,767,500"
ASL,15.72,15.75,16.24,15.51,16.05,0.33,2.10%,"4,097,500"
BOP,9.88,9.89,9.89,9.70,9.75,-0.13,-1.32%,"3,773,500"
ANL,16.84,17.24,18.09,17.00,17.95,1.11,6.59%,"3,710,500"
KAPCO,26.36,26.35,26.98,25.86,26.25,-0.11,-0.42%,"3,411,500"
ASC,19.16,19.25,19.25,17.85,18.22,-0.94,-4.91%,"3,114,000"
ISL,77.04,77.00,77.50,73.98,76.44,-0.60,-0.78%,"2,952,000"
MERIT,15.52,15.50,16.48,15.50,16.09,0.57,3.67%,"2,695,500"
FFBL,20.15,20.11,20.55,19.40,20.26,0.11,0.55%,"2,695,000"
GHNI,235.62,231.00,233.00,219.11,225.22,-10.40,-4.41%,"2,050,800"
ATRL,139.48,138.00,143.00,133.01,141.89,2.41,1.73%,"1,980,000"
UBL,115.11,115.50,118.10,114.50,117.60,2.49,2.16%,"1,922,066"
BAFL,34.78,34.80,36.00,33.91,35.36,0.58,1.67%,"1,919,295"
