SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
BYCO,9.40,9.46,10.40,9.46,10.30,0.90,9.57%,"89,840,000"
WTL,1.50,1.55,1.64,1.55,1.59,0.09,6.00%,"62,279,500"
HUMNL,7.01,7.05,7.80,7.01,7.61,0.60,8.56%,"60,253,500"
BOP,8.97,8.99,9.68,8.93,9.40,0.43,4.79%,"57,409,000"
TRG,127.72,129.10,137.29,129.10,136.84,9.12,7.14%,"39,075,314"
TELE,8.28,8.39,8.63,7.85,8.26,-0.02,-0.24%,"33,257,500"
DSLDEF,5.94,5.99,6.66,5.80,6.27,0.40,6.81%,"19,839,000"
KEL,4.10,4.13,4.20,4.08,4.12,0.02,0.49%,"18,588,000"
HASCOL,11.30,11.35,12.05,11.30,11.67,0.37,3.27%,"17,817,178"
SILK,1.56,1.58,1.59,1.49,1.50,-0.06,-3.85%,"16,334,500"
MUGHAL,94.02,95.01,101.07,90.11,97.50,3.48,3.70%,"12,132,000"
MLCF,47.64,47.80,48.28,46.67,47.05,-0.59,-1.24%,"11,913,329"
DCL,11.60,11.79,12.60,11.70,12.60,1.00,8.62%,"9,248,500"
AVN,99.70,100.50,104.40,100.01,103.42,3.72,3.73%,"8,892,500"
AGL,5.06,5.16,5.50,4.86,4.91,-0.15,-2.96%,"8,627,000"
POWER,11.20,11.25,11.47,11.10,11.13,-0.07,-0.62%,"8,487,500"
PRL,27.59,27.54,27.88,27.20,27.36,-0.23,-0.83%,"8,343,500"
PIAA,4.49,4.55,5.09,4.48,4.95,0.46,10.24%,"8,272,000"
FCCL,26.16,26.35,26.70,25.22,25.37,-0.79,-3.02%,"8,137,500"
UNITY,34.06,33.81,34.12,33.40,33.60,-0.46,-1.35%,"7,289,162"
NETSOL,271.13,273.90,291.46,268.00,290.58,19.45,7.17%,"7,208,500"
DGKC,134.58,135.49,139.50,134.58,135.82,1.24,0.92%,"6,744,428"
KAPCO,39.58,38.25,38.94,37.20,38.49,-1.09,-2.75%,"6,025,500"
TGL,104.78,105.24,111.50,102.20,109.38,4.60,4.39%,"6,014,000"
JSCL,26.13,26.20,27.60,26.13,26.96,0.83,3.18%,"5,903,000"
ASC,15.41,15.40,16.20,15.30,15.83,0.42,2.73%,"5,721,000"
BGL,8.41,8.30,8.65,8.25,8.40,-0.01,-0.12%,"5,598,500"
