SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
HASCOL,22.99,23.35,23.66,22.35,22.75,-0.24,-1.04%,"63,860,000"
KEL,4.10,4.14,4.21,4.05,4.12,0.02,0.49%,"54,037,500"
BYCO,10.97,11.11,11.97,10.95,11.38,0.41,3.74%,"42,615,000"
BOP,10.02,10.13,10.32,10.02,10.04,0.05,0.50%,"40,191,000"
UNITY,16.14,16.20,16.76,15.95,16.09,-0.05,-0.31%,"36,658,500"
FFL,17.70,18.20,18.93,17.80,17.95,0.25,1.41%,"36,257,000"
PIBTL,13.95,14.10,14.25,13.59,13.66,-0.29,-2.08%,"34,412,000"
MLCF,39.19,39.49,41.50,39.45,40.06,0.87,2.22%,"24,086,500"
POWER,9.67,9.69,9.85,9.50,9.53,-0.14,-1.45%,"18,515,500"
JSCL,32.70,34.50,35.15,30.25,30.25,-2.45,-7.49%,"16,371,500"
FCCL,22.17,22.11,22.40,21.70,21.84,-0.33,-1.49%,"14,202,000"
PRL,22.72,22.70,23.49,22.59,22.71,-0.01,-0.04%,"12,199,500"
FFBL,21.96,22.25,22.85,21.61,22.04,0.08,0.36%,"11,833,000"
AVN,74.16,74.50,75.25,68.60,68.67,-5.49,-7.40%,"11,658,000"
TRG,59.68,59.90,60.20,57.71,57.97,-1.71,-2.87%,"10,481,500"
PAEL,38.20,38.50,39.35,37.80,38.02,-0.18,-0.47%,"10,289,000"
WTL,1.30,1.35,1.35,1.26,1.33,0.03,2.31%,"8,471,000"
ASC,19.90,20.69,21.39,20.40,21.39,1.49,7.49%,"8,323,500"
PTC,10.71,10.79,10.85,10.55,10.61,-0.10,-0.93%,"8,140,500"
CSIL,3.55,3.59,3.76,3.33,3.44,-0.11,-3.10%,"7,902,500"
STPL,13.20,13.26,14.02,13.26,13.70,0.50,3.79%,"6,320,000"
DGKC,110.16,110.49,113.80,110.49,111.05,0.89,0.81%,"5,908,500"
SMBLDEF,1.93,2.05,2.14,1.97,2.00,0.07,3.63%,"5,703,500"
HUMNL,8.50,8.50,9.25,8.50,8.71,0.21,2.47%,"5,528,500"
JSBL,7.01,7.13,7.20,7.00,7.10,0.09,1.28%,"5,278,000"
FNEL,18.80,19.55,20.21,19.50,19.66,0.86,4.57%,"4,674,500"
SILK,1.25,1.20,1.29,1.19,1.22,-0.03,-2.40%,"4,612,000"
ISL,79.90,80.01,82.75,80.00,82.01,2.11,2.64%,"4,013,000"
TRPOL,10.57,10.61,11.15,10.30,10.48,-0.09,-0.85%,"3,965,000"
EPCL,40.37,41.00,41.44,40.15,41.24,0.87,2.16%,"3,918,000"
DCL,11.07,11.00,11.49,11.00,11.03,-0.04,-0.36%,"3,824,500"
ASTL,50.48,51.30,51.49,50.40,50.73,0.02,0.04%,"3,664,000"
STCL,12.59,12.71,13.59,12.71,12.92,0.33,2.62%,"3,478,500"
ASL,14.46,14.59,14.85,14.30,14.39,-0.07,-0.48%,"3,460,000"
BIPL,11.21,11.30,11.50,10.95,11.39,0.18,1.61%,"3,302,500"
KAPCO,30.95,31.00,31.19,30.40,30.56,-0.39,-1.26%,"3,229,500"
HUBC,85.98,86.02,87.00,85.00,85.44,-0.54,-0.63%,"3,128,138"
TOMCL,29.14,29.25,30.90,29.11,29.40,0.26,0.89%,"3,017,500"
PACE,4.07,4.11,4.11,3.90,3.91,-0.16,-3.93%,"2,966,500"
PSO,206.99,208.50,209.80,205.25,206.08,-0.91,-0.44%,"2,897,224"
SERF,8.48,7.48,8.85,7.48,7.49,-0.99,-11.67%,"2,822,500"
NRSL,9.93,9.89,10.00,9.64,9.66,-0.27,-2.72%,"2,816,500"
SNGP,64.10,64.59,65.00,64.01,64.44,0.34,0.53%,"2,793,000"
DSLDEF,5.01,5.02,5.30,5.02,5.06,0.05,1.00%,"2,717,500"
QUICE,5.65,5.75,6.12,5.71,5.74,0.09,1.59%,"2,576,500"
AGL,5.72,5.70,5.95,5.61,5.62,-0.10,-1.75%,"2,435,000"
ITTEFAQ,17.50,17.40,17.71,16.50,16.58,-0.92,-5.26%,"2,387,500"
NBP,41.15,41.39,41.39,40.90,41.02,-0.13,-0.32%,"2,382,000"
HTL,46.56,48.50,49.66,46.61,47.14,0.58,1.25%,"2,344,500"
