SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
HASCOL,21.70,22.10,22.28,20.08,20.18,-1.52,-7.00%,"86,628,500"
UNITY,17.47,17.75,17.96,16.50,16.65,-0.82,-4.69%,"66,237,500"
KEL,4.23,4.25,4.35,4.17,4.21,-0.02,-0.47%,"24,761,000"
FFL,16.45,16.78,17.44,15.61,16.02,-0.43,-2.61%,"20,871,500"
BOP,9.94,9.95,10.19,9.78,9.88,-0.06,-0.60%,"18,815,500"
PRL,20.01,20.50,20.54,18.51,18.67,-1.34,-6.70%,"16,227,000"
SILK,1.06,1.07,1.17,1.02,1.12,0.06,5.66%,"13,117,000"
TRG,55.00,55.85,55.99,51.40,52.16,-2.84,-5.16%,"13,009,000"
MLCF,36.77,37.30,37.60,35.25,35.89,-0.88,-2.39%,"11,806,000"
PIBTL,12.91,13.06,13.06,12.20,12.36,-0.55,-4.26%,"10,937,500"
AVN,67.00,68.50,71.45,65.01,67.22,0.22,0.33%,"9,728,500"
BYCO,10.95,11.04,11.15,10.10,10.18,-0.77,-7.03%,"8,912,000"
POWER,9.09,9.25,9.35,8.75,8.83,-0.26,-2.86%,"7,650,000"
SSGC,16.56,16.82,17.40,16.70,16.90,0.34,2.05%,"7,447,000"
PTC,11.25,11.34,11.46,10.70,10.81,-0.44,-3.91%,"7,089,000"
ASL,16.02,16.16,16.55,15.60,15.72,-0.30,-1.87%,"6,731,000"
PAEL,34.65,35.00,35.23,32.70,33.06,-1.59,-4.59%,"6,057,000"
DGKC,105.00,106.10,108.00,102.50,103.11,-1.89,-1.80%,"6,000,000"
PSX,15.81,15.99,16.99,15.99,16.50,0.69,4.36%,"5,950,500"
UBL,119.93,119.10,119.99,114.83,115.11,-4.82,-4.02%,"4,535,306"
JSCL,27.43,27.90,28.21,25.38,25.65,-1.78,-6.49%,"4,495,000"
FCCL,20.18,20.21,20.42,19.71,19.88,-0.30,-1.49%,"4,243,000"
JSBL,7.12,7.15,7.15,6.80,6.85,-0.27,-3.79%,"4,078,000"
EPCL,42.26,42.51,42.70,39.85,40.26,-2.00,-4.73%,"4,024,000"
FFBL,20.98,21.00,21.30,20.00,20.15,-0.83,-3.96%,"3,749,500"
KAPCO,27.01,27.24,27.39,26.10,26.36,-0.65,-2.41%,"3,742,500"
WTL,1.17,1.19,1.21,1.14,1.15,-0.02,-1.71%,"3,663,000"
DSLDEF,4.66,4.68,5.10,4.41,4.76,0.10,2.15%,"3,476,500"
PSO,205.33,206.15,207.75,199.05,200.20,-5.13,-2.50%,"3,352,538"
NETSOL,63.58,64.75,65.00,59.50,60.11,-3.47,-5.46%,"2,760,000"
MERIT,14.44,14.64,15.52,14.64,15.52,1.08,7.48%,"2,737,000"
LOTCHEM,12.16,12.19,12.35,11.90,12.00,-0.16,-1.32%,"2,714,500"
EFERT,61.49,61.36,61.80,60.50,60.82,-0.67,-1.09%,"2,680,190"
ASC,20.02,20.11,20.44,19.00,19.16,-0.86,-4.30%,"2,557,000"
OGDC,105.54,105.74,107.35,97.63,103.60,-1.94,-1.84%,"2,529,473"
ASTL,44.75,44.80,45.81,43.31,43.77,-0.98,-2.19%,"2,527,000"
HUBC,80.39,81.00,81.70,78.00,78.46,-1.93,-2.40%,"2,355,398"
PPL,92.96,92.53,93.89,91.65,92.06,-0.90,-0.97%,"2,054,208"
SNGP,62.89,63.10,63.50,61.21,61.81,-1.08,-1.72%,"1,920,500"
MEBL,80.47,80.12,83.48,80.12,82.21,1.74,2.16%,"1,738,000"
SEARL,259.34,260.00,267.89,252.51,256.31,-3.03,-1.17%,"1,616,200"
DCL,10.26,10.40,10.50,9.76,9.94,-0.32,-3.12%,"1,549,500"
ATRL,150.12,152.15,153.51,138.87,139.48,-10.64,-7.09%,"1,393,500"
ANL,18.03,18.00,18.09,16.68,16.84,-1.19,-6.60%,"1,318,500"
NRSL,9.46,9.70,9.70,9.02,9.27,-0.19,-2.01%,"1,286,000"
PREMA,21.59,22.45,22.60,20.80,21.15,-0.44,-2.04%,"1,260,500"
NCPL,13.82,13.95,14.50,13.75,14.37,0.55,3.98%,"1,254,500"
PIOC,92.55,94.10,96.00,90.00,90.70,-1.85,-2.00%,"1,242,500"
FABL,17.80,17.75,17.75,17.05,17.13,-0.67,-3.76%,"1,208,500"
GHNI,253.67,254.00,254.50,234.65,235.62,-18.05,-7.12%,"1,186,500"
BIPL,11.00,11.00,11.05,10.25,10.31,-0.69,-6.27%,"1,177,500"
ENGROXD,306.57,305.00,308.25,300.00,301.03,-5.54,-1.81%,"1,137,645"
TREET,24.12,24.30,24.70,23.43,23.68,-0.44,-1.82%,"1,088,000"
NML,104.39,105.39,105.39,98.05,101.07,-3.32,-3.18%,"1,048,000"
ISL,80.10,80.90,81.00,76.30,77.04,-3.06,-3.82%,"1,030,500"
BAHL,64.96,64.50,65.50,64.00,64.57,-0.39,-0.60%,"973,565"
GATM,37.53,37.55,38.80,37.00,37.32,-0.21,-0.56%,"968,500"
ITTEFAQ,17.03,17.10,17.55,16.03,16.49,-0.54,-3.17%,"932,000"
NRL,187.60,190.00,191.90,173.53,173.97,-13.63,-7.27%,"930,400"
NBP,40.44,40.25,40.68,39.61,39.88,-0.56,-1.38%,"920,500"
CHCC,120.79,122.00,123.80,114.70,116.76,-4.03,-3.34%,"917,000"
MUGHAL,64.75,65.50,67.50,62.91,64.28,-0.47,-0.73%,"899,500"
GGL,14.48,14.55,14.55,13.40,13.55,-0.93,-6.42%,"841,000"
FNEL,18.87,19.01,19.15,17.46,17.69,-1.18,-6.25%,"831,500"
HBL,130.25,131.90,132.10,129.02,130.74,0.49,0.38%,"818,892"
AGL,5.07,5.25,5.25,4.86,4.95,-0.12,-2.37%,"802,000"
AGP,108.96,109.50,110.50,108.00,109.00,0.04,0.04%,"776,000"
SAZEW,180.73,181.01,181.97,170.00,170.90,-9.83,-5.44%,"756,000"
786,10.13,10.25,11.13,10.10,11.13,1.00,9.87%,"728,500"
HTL,44.81,46.00,46.19,42.20,42.52,-2.29,-5.11%,"690,000"
RPL,35.00,35.12,36.75,34.50,34.68,-0.32,-0.91%,"683,500"
PASL,0.99,1.00,1.01,0.95,0.98,-0.01,-1.01%,"669,000"
TOMCL,29.94,30.00,30.05,28.51,29.42,-0.52,-1.74%,"661,000"
SHEL,251.04,250.25,257.47,243.00,245.46,-5.58,-2.22%,"632,400"
WAVES,27.55,27.51,27.85,25.70,26.17,-1.55,-5.59%,"631,000"
STPL,13.51,13.55,13.65,13.00,13.04,-0.47,-3.48%,"628,500"
DCR,10.96,11.08,11.10,10.72,10.80,-0.16,-1.46%,"627,500"
LPL,13.26,13.25,13.26,13.02,13.14,-0.12,-0.90%,"619,500"
BAFL,35.28,35.50,35.70,34.70,34.78,-0.50,-1.42%,"611,436"
LUCK,656.41,662.00,663.25,645.01,647.07,-9.34,-1.42%,"584,111"
TGL,91.41,92.40,92.45,87.00,90.61,-0.80,-0.88%,"572,500"
MFL,22.53,22.94,23.80,21.60,21.72,-0.81,-3.60%,"543,500"
CRTM,20.70,21.20,21.25,19.30,19.37,-1.33,-6.43%,"537,000"
PIAA,4.88,4.98,4.98,4.75,4.78,-0.10,-2.05%,"536,500"
CSIL,3.12,3.12,3.12,2.71,2.85,-0.27,-8.65%,"525,000"
INIL,150.06,152.89,153.49,143.00,144.94,-5.12,-3.41%,"518,000"
HUMNL,7.91,8.00,8.00,7.50,7.56,-0.35,-4.42%,"494,000"
PACE,3.44,3.60,3.64,3.33,3.39,-0.05,-1.45%,"486,500"
FFC,109.20,109.97,109.97,107.51,107.99,-1.21,-1.11%,"473,182"
FCSC,1.59,1.60,1.64,1.48,1.51,-0.08,-5.03%,"464,000"
HCAR,276.86,277.49,279.50,256.10,258.94,-17.92,-6.47%,"463,900"
BGL,7.41,7.50,7.50,7.02,7.11,-0.30,-4.05%,"449,000"
THCCL,21.47,21.55,22.45,20.50,20.84,-0.63,-2.93%,"434,500"
TELE,1.81,1.83,1.85,1.69,1.70,-0.11,-6.08%,"418,500"
GLAXO,182.38,183.00,186.50,183.00,183.63,1.25,0.69%,"408,900"
GHNL,90.41,91.00,92.00,84.00,84.51,-5.90,-6.53%,"403,000"
AICL,40.42,41.00,41.95,40.00,40.10,-0.42,-1.04%,"356,500"
IMSLDEF,14.98,15.60,16.10,15.30,15.83,0.85,5.67%,"334,500"
CEPBXDXB,113.49,114.10,114.50,110.05,111.23,-2.26,-1.99%,"314,000"
CLOV,95.16,97.00,98.00,91.00,92.13,-3.03,-3.18%,"309,500"
TPLP,9.65,9.60,10.22,9.50,9.97,0.32,3.32%,"308,000"
QUICE,5.15,5.15,5.20,4.90,4.91,-0.24,-4.66%,"306,500"
YOUW,3.54,3.60,3.60,3.15,3.29,-0.25,-7.06%,"298,500"
MCB,175.13,175.13,176.50,172.99,173.82,-1.31,-0.75%,"292,158"
NCL,41.29,41.20,41.24,39.15,39.39,-1.90,-4.60%,"285,000"
MDTL,1.37,1.40,1.43,1.30,1.31,-0.06,-4.38%,"283,500"
EFUL,192.76,190.02,207.21,187.00,204.89,12.13,6.29%,"271,600"
TPLT,9.97,10.15,10.74,9.76,10.40,0.43,4.31%,"270,500"
ICL,27.09,27.60,28.19,27.40,27.59,0.50,1.85%,"254,500"
ORIXM,20.39,20.24,21.50,20.20,21.21,0.82,4.02%,"239,500"
TPL,5.80,5.90,5.90,5.50,5.70,-0.10,-1.72%,"236,500"
ILP,69.21,70.00,70.00,66.25,67.05,-2.21,-3.19%,"235,000"
GAIL,5.61,5.70,5.75,5.40,5.49,-0.12,-2.14%,"232,000"
TRPOL,9.12,9.22,9.22,8.70,8.79,-0.33,-3.62%,"222,500"
POL,425.22,424.10,424.49,421.00,421.33,-3.89,-0.91%,"221,932"
SERF,9.07,9.05,9.39,8.91,9.24,0.17,1.87%,"217,500"
ICIBL,1.00,1.00,1.04,0.97,0.97,-0.03,-3.00%,"211,000"
OLPL,27.85,27.52,28.00,27.25,27.37,-0.48,-1.72%,"208,500"
DFMLDEF,8.08,8.14,8.35,7.75,7.89,-0.19,-2.35%,"197,500"
NATF,286.98,288.99,293.05,284.15,285.62,-1.36,-0.47%,"191,900"
CPPL,181.84,178.00,180.00,170.00,177.91,-3.93,-2.16%,"188,100"
POWERPS,10.00,10.01,10.05,9.90,10.00,0.00,0.00%,"184,500"
DOL,46.20,45.60,46.26,44.51,44.91,-1.29,-2.79%,"183,000"
PSMC,211.43,214.00,215.00,200.00,201.47,-9.96,-4.71%,"181,700"
SHDT,33.41,31.51,34.00,30.96,31.82,-1.59,-4.76%,"171,000"
SPL,23.11,23.45,23.50,21.42,21.95,-1.16,-5.02%,"168,000"
FATIMA,29.28,30.79,30.80,29.40,29.68,0.40,1.37%,"167,500"
SMBLDEF,1.90,1.95,1.95,1.88,1.89,-0.01,-0.53%,"166,500"
ECOP,17.16,17.40,17.70,15.90,16.03,-1.13,-6.59%,"165,000"
FCEPL,80.59,80.59,81.00,78.00,78.51,-2.08,-2.58%,"155,000"
STCL,13.14,12.95,13.40,12.80,12.81,-0.33,-2.51%,"155,000"
HIRATDEF,2.45,2.69,2.78,2.52,2.55,0.08,3.24%,"150,500"
EFGH,25.80,26.00,26.00,23.87,24.75,-1.05,-4.07%,"147,500"
PKGP,17.48,17.28,18.22,17.28,18.00,0.52,2.97%,"145,000"
GWLC,24.95,25.05,25.10,23.81,23.97,-0.95,-3.81%,"143,500"
GGGL,13.94,14.24,14.25,13.50,13.74,-0.20,-1.43%,"141,500"
FDIBL,2.21,2.20,2.48,2.13,2.14,-0.07,-3.17%,"138,000"
FLYNG,10.39,10.60,10.60,10.00,10.09,-0.30,-2.89%,"137,500"
GHGL,52.48,52.90,53.90,51.75,52.21,-0.27,-0.51%,"129,500"
LOADS,18.85,19.00,19.10,18.35,18.50,-0.35,-1.86%,"124,500"
GTYR,68.72,69.20,69.20,66.00,66.99,-1.73,-2.52%,"121,500"
CSAP,74.04,75.45,75.50,72.02,73.46,-0.58,-0.78%,"121,500"
HMB,34.84,34.35,34.50,33.50,33.51,-1.33,-3.82%,"118,500"
FEROZ,407.06,409.00,409.00,395.00,397.67,-9.39,-2.31%,"117,000"
ESBL,12.87,12.60,12.74,12.00,12.05,-0.82,-6.37%,"113,000"
NPL,22.50,22.40,23.48,22.18,23.31,0.81,3.60%,"110,500"
KOHC,182.69,187.00,190.00,169.10,170.74,-11.95,-6.54%,"109,400"
KOSM,2.50,2.51,2.51,2.40,2.44,-0.06,-2.40%,"107,000"
ORM,7.50,7.44,7.45,7.35,7.40,-0.10,-1.33%,"104,000"
SYS,283.37,280.75,283.44,270.00,272.04,-11.33,-4.00%,"103,500"
SMCPL,7.59,7.60,7.82,7.30,7.46,-0.13,-1.71%,"100,500"
PNSC,89.30,91.18,95.00,91.00,91.00,1.70,1.90%,"94,000"
PILDEF,1.16,1.15,1.15,1.06,1.10,-0.10,-8.33%,"85,500"
FUDLM,8.36,8.50,8.55,8.01,8.33,-0.03,-0.36%,"78,500"
EPQL,20.30,20.68,20.68,19.90,19.95,-0.35,-1.72%,"76,500"
TRIPF,167.70,168.00,172.00,166.00,168.78,1.08,0.64%,"76,500"
SAIF,16.90,15.81,16.80,15.64,15.64,-1.26,-7.46%,"75,000"
CTM,3.80,3.81,4.10,3.81,3.88,0.08,2.11%,"75,000"
SNBL,9.50,9.50,9.50,9.20,9.33,-0.17,-1.79%,"73,000"
IBLHL,89.17,91.98,92.45,85.00,85.76,-3.41,-3.82%,"68,500"
DKLDEF,5.19,4.91,5.10,4.91,5.01,-0.18,-3.47%,"68,000"
ACPL,154.98,156.00,157.00,151.11,152.68,-2.30,-1.48%,"66,800"
REWM,29.40,28.90,29.00,27.20,27.22,-2.18,-7.41%,"61,000"
FECTC,33.16,33.00,33.69,30.70,30.78,-2.38,-7.18%,"59,000"
THALL,421.72,421.00,425.00,411.00,420.33,3.28,0.79%,"58,900"
FECM,2.90,2.60,2.70,2.31,2.33,-0.57,-19.66%,"58,500"
FHAM,11.52,11.70,11.90,11.50,11.60,0.08,0.69%,"58,500"
SCBPL,31.13,32.50,32.50,30.61,31.48,0.35,1.12%,"58,500"
