SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
ASL,14.51,14.60,15.59,14.60,15.35,0.84,5.79%,"39,120,500"
UNITY,18.09,18.50,19.30,18.50,18.98,0.89,4.92%,"27,868,000"
FFL,19.32,19.34,19.74,19.05,19.73,0.41,2.12%,"18,189,500"
KEL,4.28,4.30,4.47,4.27,4.37,0.09,2.10%,"17,879,500"
PIBTL,13.98,14.14,14.18,13.75,13.94,-0.04,-0.29%,"16,964,500"
HASCOL,22.02,21.90,22.09,21.65,21.89,-0.13,-0.59%,"7,378,000"
PSX,16.41,16.50,17.50,16.15,17.25,0.84,5.12%,"7,206,500"
NBP,41.02,41.00,41.14,40.56,40.70,-0.32,-0.78%,"6,639,500"
KAPCO,28.10,28.00,28.05,27.31,27.65,-0.45,-1.60%,"4,980,000"
PRL,22.35,22.19,22.45,21.75,21.84,-0.51,-2.28%,"4,113,500"
FFBL,23.03,23.08,23.10,22.55,22.80,-0.23,-1.00%,"3,936,500"
NCL,40.58,40.50,42.02,40.50,41.86,1.32,3.26%,"3,380,500"
POWER,9.42,9.46,9.50,9.30,9.44,0.02,0.21%,"3,162,500"
JSBL,7.14,7.10,7.18,6.80,6.85,-0.29,-4.06%,"3,039,000"
TRG,57.45,57.50,57.85,56.49,56.90,-0.55,-0.96%,"3,009,500"
PTC,11.63,11.52,11.70,11.43,11.61,-0.02,-0.17%,"2,529,000"
BYCO,10.85,10.79,10.85,10.57,10.72,-0.13,-1.20%,"2,441,500"
ASC,19.94,20.10,20.59,19.76,20.30,0.36,1.81%,"2,022,000"
BOP,9.85,9.86,9.91,9.77,9.81,-0.04,-0.41%,"1,981,500"
SNGP,63.95,63.76,65.70,63.65,65.30,1.35,2.11%,"1,929,000"
PREMA,23.15,23.90,24.18,23.25,23.55,0.40,1.73%,"1,925,000"
FCCL,21.54,21.54,21.59,21.30,21.35,-0.19,-0.88%,"1,739,000"
THCCL,21.56,23.00,23.00,21.90,22.45,0.89,4.13%,"1,698,500"
PAEL,38.21,38.29,38.51,37.90,38.38,0.17,0.44%,"1,591,500"
MLCF,39.48,39.48,39.60,39.00,39.45,-0.03,-0.08%,"1,574,000"
DSLDEF,4.95,5.10,5.34,4.90,5.15,0.20,4.04%,"1,567,000"
DFMLDEF,9.32,9.50,10.05,9.43,9.90,0.58,6.22%,"1,279,000"
WAVES,30.48,30.35,31.20,30.00,30.87,0.39,1.28%,"1,276,500"
JSCL,28.52,28.15,28.55,27.70,28.05,-0.47,-1.65%,"1,073,000"
PIAA,5.31,5.35,5.36,5.22,5.35,0.04,0.75%,"1,041,500"
FNEL,19.61,19.60,20.39,19.60,20.10,0.49,2.50%,"995,500"
SMBLDEF,2.07,2.03,2.18,1.98,2.13,0.06,2.90%,"964,500"
STCL,12.87,13.00,13.60,12.99,13.30,0.43,3.34%,"964,000"
CLOV,112.44,114.99,114.99,110.01,111.20,-1.24,-1.10%,"872,500"
BGL,8.12,8.15,8.65,8.05,8.49,0.37,4.56%,"872,000"
SSGC,17.10,17.10,17.40,16.86,17.29,0.19,1.11%,"828,500"
DGKC,112.03,111.01,112.50,110.50,111.93,-0.10,-0.09%,"732,500"
EPCL,43.20,42.70,44.15,42.70,43.75,0.55,1.27%,"675,500"
LOADS,21.58,21.61,22.25,21.31,21.99,0.41,1.90%,"675,500"
SPEL,46.82,47.10,49.51,47.10,48.50,1.68,3.59%,"631,500"
ITTEFAQ,15.76,15.99,16.49,15.65,16.32,0.56,3.55%,"626,500"
CSIL,3.44,3.58,3.59,3.45,3.55,0.11,3.20%,"614,500"
PPL,98.71,98.35,98.98,98.01,98.60,-0.11,-0.11%,"608,580"
TOMCL,30.55,30.61,30.80,30.00,30.29,-0.26,-0.85%,"583,500"
STPL,13.32,13.55,13.70,13.25,13.53,0.21,1.58%,"572,000"
LPL,14.78,14.51,15.10,14.51,14.89,0.11,0.74%,"550,500"
GHNI,282.70,283.00,287.85,280.01,284.50,1.80,0.64%,"544,000"
ESBL,13.91,14.00,14.95,14.00,14.02,0.11,0.79%,"518,000"
SILK,1.10,1.09,1.14,1.09,1.12,0.02,1.82%,"516,500"
DCL,11.17,11.25,11.37,11.05,11.26,0.09,0.81%,"487,500"
AVN,66.99,67.00,67.00,65.30,66.51,-0.48,-0.72%,"483,500"
TREET,27.39,27.41,27.90,27.38,27.75,0.41,1.50%,"482,000"
HCAR,305.44,305.02,328.00,304.00,320.50,15.06,4.93%,"474,300"
TPL,6.46,6.40,6.40,6.19,6.29,-0.17,-2.63%,"424,500"
ASTL,50.90,51.05,51.06,50.41,50.75,-0.15,-0.29%,"400,000"
KOSM,2.78,2.80,2.80,2.70,2.76,-0.02,-0.72%,"398,500"
ISL,83.04,83.10,83.44,82.12,83.05,0.01,0.01%,"384,000"
PSO,207.22,207.10,207.99,204.50,206.16,-1.06,-0.51%,"371,375"
LOTCHEM,13.36,13.27,13.37,13.21,13.35,-0.01,-0.07%,"367,500"
MODAM,6.00,7.00,7.00,6.84,7.00,1.00,16.67%,"366,000"
NML,106.07,107.20,107.60,106.35,106.95,0.88,0.83%,"347,500"
