SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
ASL,14.51,14.60,15.59,14.60,15.20,0.69,4.76%,"43,325,500"
UNITY,18.09,18.50,19.30,18.50,18.81,0.72,3.98%,"36,245,500"
FFL,19.32,19.34,19.75,19.05,19.25,-0.07,-0.36%,"24,173,000"
PIBTL,13.98,14.14,14.18,13.68,13.70,-0.28,-2.00%,"21,127,500"
KEL,4.28,4.30,4.47,4.27,4.31,0.03,0.70%,"20,298,000"
HASCOL,22.02,21.90,22.09,21.65,21.75,-0.27,-1.23%,"9,477,000"
PSX,16.41,16.50,17.50,16.15,16.90,0.49,2.99%,"8,388,000"
NBP,41.02,41.00,41.14,40.56,40.58,-0.44,-1.07%,"6,794,500"
KAPCO,28.10,28.00,28.05,27.31,27.54,-0.56,-1.99%,"6,071,000"
PRL,22.35,22.19,22.45,21.62,21.75,-0.60,-2.68%,"5,918,000"
FFBL,23.03,23.08,23.10,22.55,22.55,-0.48,-2.08%,"4,831,500"
ASC,19.94,20.10,20.79,19.76,20.40,0.46,2.31%,"4,637,500"
NCL,40.58,40.50,42.02,40.50,41.35,0.77,1.90%,"4,445,000"
POWER,9.42,9.46,9.50,9.30,9.36,-0.06,-0.64%,"3,979,500"
JSBL,7.14,7.10,7.18,6.80,6.89,-0.25,-3.50%,"3,948,000"
TRG,57.45,57.50,57.85,56.25,56.40,-1.05,-1.83%,"3,667,000"
BYCO,10.85,10.79,10.85,10.53,10.60,-0.25,-2.30%,"3,415,000"
PTC,11.63,11.52,11.70,11.43,11.60,-0.03,-0.26%,"3,302,500"
THCCL,21.56,23.00,23.17,21.90,23.17,1.61,7.47%,"3,129,500"
BOP,9.85,9.86,9.91,9.77,9.78,-0.07,-0.71%,"2,746,000"
DCL,11.17,11.25,11.62,11.05,11.46,0.29,2.60%,"2,711,000"
PREMA,23.15,23.90,24.18,23.25,23.65,0.50,2.16%,"2,664,000"
PAEL,38.21,38.29,38.51,37.90,38.18,-0.03,-0.08%,"2,431,500"
MLCF,39.48,39.48,39.60,39.00,39.04,-0.44,-1.11%,"2,358,000"
SNGP,63.95,63.76,65.70,63.65,64.99,1.04,1.63%,"2,334,500"
FCCL,21.54,21.54,21.59,21.30,21.36,-0.18,-0.84%,"2,046,000"
JSCL,28.52,28.15,28.55,27.30,27.45,-1.07,-3.75%,"1,976,500"
PIAA,5.31,5.35,5.36,5.22,5.23,-0.08,-1.51%,"1,694,000"
DSLDEF,4.95,5.10,5.34,4.90,5.06,0.11,2.22%,"1,687,500"
DFMLDEF,9.32,9.50,10.05,9.43,9.58,0.26,2.79%,"1,576,500"
WAVES,30.48,30.35,31.20,30.00,30.80,0.32,1.05%,"1,575,500"
SMBLDEF,2.07,2.03,2.18,1.98,2.05,-0.02,-0.97%,"1,476,000"
STCL,12.87,13.00,13.60,12.99,13.25,0.38,2.95%,"1,423,500"
FNEL,19.61,19.60,20.39,19.60,19.91,0.39,2.00%,"1,326,500"
CLOV,112.44,114.99,114.99,106.65,106.95,-5.49,-4.88%,"1,291,500"
NML,106.07,107.20,107.60,103.50,103.85,-2.22,-2.09%,"1,226,500"
UBL,128.93,129.95,129.95,127.20,127.78,-1.15,-0.89%,"1,226,335"
BGL,8.12,8.15,8.65,8.05,8.34,0.22,2.71%,"1,206,000"
PPL,98.71,98.35,98.98,98.00,98.10,-0.61,-0.62%,"1,078,201"
SSGC,17.10,17.10,17.45,16.86,17.20,0.10,0.58%,"1,050,500"
CSIL,3.44,3.58,3.59,3.40,3.49,0.05,1.45%,"992,500"
SILK,1.10,1.09,1.14,1.09,1.10,0.00,0.00%,"983,500"
EPCL,43.20,42.70,44.15,42.70,43.40,0.20,0.46%,"949,500"
LOADS,21.58,21.61,22.25,21.05,21.22,-0.36,-1.67%,"894,000"
WTL,1.27,1.29,1.29,1.25,1.26,-0.01,-0.79%,"868,500"
DGKC,112.03,111.01,112.50,110.50,111.50,-0.53,-0.47%,"864,500"
