SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
HASCOL,18.67,18.50,19.10,17.27,17.37,-1.30,-6.96%,"52,658,500"
KEL,4.15,4.10,4.28,4.00,4.04,-0.11,-2.65%,"35,084,000"
TRG,50.11,50.16,51.40,46.36,46.65,-3.46,-6.90%,"24,661,500"
UNITY,16.16,16.24,16.37,14.95,15.08,-1.08,-6.68%,"24,239,000"
PIBTL,12.54,12.44,12.73,11.75,11.92,-0.62,-4.94%,"15,427,000"
MLCF,36.55,36.90,37.49,36.00,36.20,-0.35,-0.96%,"12,384,500"
POWER,8.71,8.60,8.93,8.30,8.52,-0.19,-2.18%,"10,856,000"
PRL,18.21,18.25,18.95,16.85,17.17,-1.04,-5.71%,"10,336,500"
BOP,9.75,9.78,10.00,9.61,9.73,-0.02,-0.21%,"8,762,500"
ANL,17.95,18.15,18.60,17.25,17.92,-0.03,-0.17%,"8,716,500"
FFL,15.49,15.65,16.05,14.35,14.67,-1.13,-7.15%,"7,432,500"
PAEL,32.39,32.40,34.02,31.11,31.76,-0.63,-1.95%,"7,410,000"
DGKC,108.17,108.51,109.00,105.66,106.77,-1.40,-1.29%,"6,786,500"
PTC,10.61,10.58,10.74,10.01,10.12,-0.49,-4.62%,"5,378,000"
WTL,1.10,1.12,1.15,1.06,1.10,0.00,0.00%,"5,272,000"
BYCO,10.04,10.05,10.32,9.50,9.67,-0.37,-3.69%,"5,082,500"
KAPCO,26.25,26.21,26.80,25.40,25.66,-0.85,-3.21%,"4,935,000"
ASL,16.05,15.77,16.25,15.26,15.56,-0.49,-3.05%,"4,824,000"
JSCL,26.15,26.01,26.24,24.19,24.24,-1.91,-7.30%,"4,298,000"
FCCL,20.09,20.18,20.18,18.98,19.27,-0.82,-4.08%,"4,128,000"
GHNI,225.22,226.50,242.11,222.00,226.72,1.50,0.67%,"3,480,000"
AVN,70.40,70.45,70.50,65.12,65.82,-4.58,-6.51%,"3,332,500"
LOTCHEM,11.90,11.75,12.00,11.30,11.37,-0.53,-4.45%,"3,297,000"
ASC,18.22,18.22,18.69,17.06,17.49,-0.73,-4.01%,"2,808,500"
SILK,1.06,1.07,1.07,1.00,1.01,-0.05,-4.72%,"2,801,500"
EPCL,42.48,42.45,42.60,40.89,41.08,-1.40,-3.30%,"2,570,500"
ASTL,43.97,43.60,44.60,40.71,41.22,-2.75,-6.25%,"2,341,000"
UBL,117.60,117.11,119.11,116.50,116.83,-0.77,-0.65%,"2,180,416"
NRSL,9.00,9.10,9.20,8.01,8.37,-0.63,-7.00%,"2,078,000"
PIOC,91.28,92.00,94.50,90.25,91.79,0.51,0.56%,"1,927,500"
ATRL,141.89,141.50,146.01,132.10,135.52,-6.37,-4.49%,"1,598,000"
HUBC,78.03,77.93,79.75,77.50,78.76,0.73,0.94%,"1,580,032"
PPL,92.96,92.85,92.85,89.00,89.58,-3.38,-3.64%,"1,494,560"
NRL,173.69,172.45,180.49,160.67,163.32,-10.37,-5.97%,"1,484,600"
HCAR,255.63,254.00,274.80,251.00,261.63,6.00,2.35%,"1,432,600"
NETSOL,59.98,60.00,61.30,55.51,56.69,-3.29,-5.49%,"1,419,000"
FFBL,20.26,20.30,20.50,19.00,19.33,-0.93,-4.59%,"1,404,500"
MEBL,79.91,80.00,81.35,79.00,79.01,-0.90,-1.13%,"1,342,500"
WAVES,26.06,26.40,27.10,25.00,25.08,-0.98,-3.76%,"1,327,000"
STPL,12.90,12.90,13.10,12.47,12.60,-0.30,-2.33%,"1,282,500"
PSX,16.54,16.83,16.97,15.80,16.00,-0.54,-3.26%,"1,269,500"
ILP,64.60,65.00,69.44,64.50,66.03,1.43,2.21%,"1,222,000"
OGDC,104.19,104.00,104.00,100.51,101.11,-3.08,-2.96%,"1,096,127"
EFERT,60.74,60.85,60.95,59.86,60.00,-0.74,-1.22%,"1,073,443"
ISL,76.44,76.00,77.49,72.10,73.21,-3.23,-4.23%,"1,053,500"
HUMNL,7.30,7.30,7.46,6.86,7.05,-0.25,-3.42%,"1,046,500"
PSMC,195.93,196.00,210.35,194.50,198.20,2.27,1.16%,"1,027,700"
GHNL,80.79,81.00,86.84,80.10,82.80,2.01,2.49%,"1,026,500"
SNGP,61.68,61.41,61.85,57.10,58.48,-3.20,-5.19%,"1,013,500"
DCR,10.88,10.85,11.01,10.79,10.93,0.05,0.46%,"1,002,000"
BAFL,35.36,34.82,35.49,34.25,34.54,-0.82,-2.32%,"997,768"
PSO,200.85,201.00,202.00,192.51,194.48,-6.37,-3.17%,"985,616"
DSLDEF,4.54,4.50,4.75,4.24,4.41,-0.13,-2.86%,"956,000"
TREET,22.90,22.90,23.38,21.70,22.10,-0.80,-3.49%,"901,500"
GLAXO,185.71,186.50,190.45,182.60,183.64,-2.07,-1.11%,"892,800"
SAZEW,170.53,171.20,179.48,166.61,169.30,-1.23,-0.72%,"875,600"
CSIL,2.81,2.76,2.85,2.50,2.60,-0.21,-7.47%,"852,000"
MERIT,16.09,16.40,16.40,14.89,15.15,-0.94,-5.84%,"819,500"
GAIL,5.34,5.50,6.10,5.10,5.35,0.01,0.19%,"772,000"
DCL,9.83,9.85,10.00,9.17,9.28,-0.55,-5.60%,"765,000"
SPL,21.57,21.87,23.18,21.87,22.36,0.79,3.66%,"762,000"
SEARL,257.16,256.70,262.54,246.00,248.86,-11.16,-4.29%,"757,300"
SSGC,16.67,16.51,16.85,15.70,15.98,-0.69,-4.14%,"744,500"
FFC,107.50,107.11,107.97,107.10,107.50,0.00,0.00%,"743,788"
DOL,44.38,44.30,46.30,41.85,42.55,-1.83,-4.12%,"730,000"
LUCK,648.13,649.00,652.00,636.01,639.62,-8.51,-1.31%,"720,755"
NML,101.75,101.78,102.98,99.00,99.68,-2.07,-2.03%,"641,000"
ITTEFAQ,16.27,16.17,16.45,15.70,16.11,-0.16,-0.98%,"636,500"
BGL,6.64,6.89,6.91,5.75,6.09,-0.55,-8.28%,"623,000"
INIL,144.65,144.00,146.00,139.00,139.78,-4.87,-3.37%,"589,000"
THCCL,20.04,20.04,20.10,18.56,18.90,-1.14,-5.69%,"586,500"
LPL,12.85,13.00,13.22,12.50,12.52,-0.33,-2.57%,"553,000"
PIAA,4.70,4.61,4.76,4.50,4.54,-0.16,-3.40%,"507,000"
LOADS,18.20,18.79,19.56,17.92,18.18,-0.02,-0.11%,"506,500"
PASL,0.96,0.98,1.00,0.91,0.92,-0.04,-4.17%,"504,500"
SMBLDEF,1.81,1.80,1.86,1.68,1.73,-0.08,-4.42%,"501,000"
HBL,132.57,133.00,134.50,130.50,131.04,-1.53,-1.15%,"479,944"
GTYR,64.85,65.25,69.71,64.55,65.82,0.97,1.50%,"478,500"
ENGRO,303.67,303.02,306.44,298.12,299.71,-3.96,-1.30%,"428,447"
MUGHAL,63.94,63.99,64.75,61.75,63.13,-0.81,-1.27%,"426,000"
TGL,88.91,89.25,91.00,86.70,89.79,0.88,0.99%,"420,000"
FCEPL,77.94,76.65,78.50,73.15,74.56,-3.38,-4.34%,"414,000"
CEPBXDXB,91.95,93.00,93.70,85.10,87.74,-4.21,-4.58%,"409,000"
BIPL,10.33,10.30,10.39,10.00,10.08,-0.25,-2.42%,"390,000"
SERF,9.24,9.40,9.71,9.15,9.62,0.38,4.11%,"390,000"
AGL,4.88,4.96,4.98,4.41,4.56,-0.32,-6.56%,"386,000"
RPL,34.26,34.21,35.59,33.05,33.75,-0.51,-1.49%,"381,500"
NICL,75.00,75.00,77.00,74.00,74.63,-0.37,-0.49%,"373,000"
FCSC,1.48,1.55,1.60,1.35,1.40,-0.08,-5.41%,"364,500"
FNEL,16.73,16.70,17.30,15.70,16.05,-0.68,-4.06%,"363,500"
CRTM,19.72,19.60,20.34,19.60,19.90,0.18,0.91%,"356,000"
CHCC,117.83,115.20,118.99,113.50,114.48,-3.35,-2.84%,"352,500"
POL,421.64,422.98,422.98,409.00,410.31,-11.33,-2.69%,"345,936"
FABL,17.36,17.21,17.49,17.21,17.39,0.03,0.17%,"337,000"
NCL,39.98,40.75,40.75,38.32,38.55,-1.43,-3.58%,"333,000"
IBLHL,91.05,92.00,97.87,92.00,94.51,3.46,3.80%,"326,000"
TOMCL,29.28,29.01,29.28,28.15,28.42,-0.86,-2.94%,"323,000"
CLOV,92.66,92.01,95.98,88.00,90.36,-2.30,-2.48%,"306,500"
MCB,177.02,176.90,178.00,173.25,175.71,-3.52,-1.96%,"299,223"
SPEL,43.97,43.50,44.95,42.00,42.56,-1.41,-3.21%,"299,000"
AGP,107.31,107.50,108.80,104.00,105.49,-1.82,-1.70%,"296,000"
STCL,12.78,12.99,12.99,12.25,12.45,-0.33,-2.58%,"290,000"
SHEL,245.11,240.00,249.30,231.00,235.85,-9.26,-3.78%,"280,700"
TRPOL,8.37,8.70,8.74,7.95,8.06,-0.31,-3.70%,"275,500"
TPL,5.45,5.35,5.54,5.05,5.12,-0.33,-6.06%,"257,500"
MDTL,1.34,1.34,1.36,1.25,1.28,-0.06,-4.48%,"255,500"
GATM,36.96,36.80,37.75,35.80,36.17,-0.79,-2.14%,"241,000"
DFMLDEF,7.52,7.50,7.99,7.25,7.40,-0.12,-1.60%,"235,500"
HTL,42.69,43.05,43.80,40.56,41.05,-1.64,-3.84%,"234,000"
PACE,3.26,3.16,3.35,3.10,3.17,-0.09,-2.76%,"231,500"
JSBL,6.84,6.85,6.85,6.60,6.74,-0.10,-1.46%,"217,000"
AHL,50.55,51.00,52.89,51.00,52.35,1.80,3.56%,"211,000"
GGL,13.73,13.61,13.99,13.25,13.51,-0.22,-1.60%,"210,500"
NBP,40.29,40.29,40.29,39.38,39.52,-0.77,-1.91%,"208,500"
FEROZ,399.11,400.00,409.00,386.25,389.87,-9.24,-2.32%,"195,700"
QUICE,4.89,4.93,4.96,4.50,4.60,-0.29,-5.93%,"195,000"
BAHL,63.99,64.00,65.00,63.51,64.97,0.98,1.53%,"193,055"
PAKRI,26.75,26.95,27.00,25.00,25.25,-1.50,-5.61%,"192,500"
GGGL,13.68,13.80,13.98,13.30,13.50,-0.18,-1.32%,"180,500"
SYS,271.30,272.00,279.00,261.55,264.22,-7.08,-2.61%,"179,800"
PREMA,20.82,20.68,20.98,20.00,20.03,-0.79,-3.79%,"178,000"
