SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
KEL,4.12,4.15,4.24,3.99,4.07,-0.05,-1.21%,"70,582,000"
HASCOL,22.75,22.76,23.10,22.11,22.40,-0.35,-1.54%,"37,389,500"
DCL,11.03,11.08,12.03,11.08,11.63,0.60,5.44%,"28,132,000"
JSCL,30.25,29.15,31.45,27.99,30.27,0.02,0.07%,"25,984,000"
UNITY,16.09,16.19,16.65,15.87,16.31,0.22,1.37%,"20,210,000"
BOP,10.04,10.07,10.20,9.90,9.96,-0.08,-0.80%,"18,977,500"
PIBTL,13.66,13.78,13.85,13.35,13.57,-0.09,-0.66%,"18,321,500"
FFBL,22.04,22.28,23.34,22.15,23.10,0.86,3.87%,"16,417,000"
POWER,9.53,9.70,9.80,9.52,9.74,0.21,2.20%,"16,212,500"
TRG,57.97,58.36,58.49,55.70,57.43,-0.54,-0.93%,"14,900,000"
FFL,17.95,18.05,18.49,17.70,18.19,0.24,1.34%,"14,381,500"
MLCF,40.06,40.55,40.90,39.30,39.83,-0.23,-0.57%,"12,206,500"
FABL,17.93,18.09,18.19,17.25,17.78,-0.15,-0.84%,"11,099,500"
ASC,21.39,21.60,21.90,19.81,20.13,-1.26,-5.89%,"9,334,000"
PRL,22.71,22.66,22.97,21.81,22.02,-0.69,-3.04%,"8,824,000"
JSBL,7.10,6.97,7.45,6.92,7.30,0.20,2.82%,"8,645,000"
KAPCO,30.56,30.60,30.70,28.80,29.72,-0.84,-2.75%,"8,257,500"
BYCO,11.38,11.54,11.64,11.05,11.16,-0.22,-1.93%,"7,397,000"
WTL,1.33,1.35,1.35,1.25,1.26,-0.07,-5.26%,"7,162,000"
EPCL,41.24,41.11,43.39,41.10,41.50,0.26,0.63%,"4,904,000"
PAEL,38.02,38.10,38.44,37.35,38.23,0.21,0.55%,"4,018,500"
ANL,20.71,20.51,21.15,20.25,21.04,0.33,1.59%,"3,857,500"
ISL,82.01,83.25,84.00,81.75,82.06,0.05,0.06%,"3,673,000"
AVN,68.67,67.52,68.45,66.02,66.89,-1.78,-2.59%,"3,637,500"
SNGP,64.44,64.43,64.78,63.50,64.15,-0.29,-0.45%,"3,387,000"
INIL,158.34,160.55,164.00,159.00,159.43,1.09,0.69%,"3,264,000"
FCCL,21.84,21.90,22.10,21.69,21.75,-0.09,-0.41%,"3,238,500"
PTC,10.61,10.60,10.81,10.50,10.76,0.15,1.41%,"3,229,000"
SILK,1.22,1.22,1.22,1.16,1.17,-0.05,-4.10%,"3,228,000"
ASL,14.39,14.60,14.74,13.90,14.33,-0.06,-0.42%,"3,166,500"
WAVES,30.86,30.55,31.20,29.40,29.61,-1.25,-4.05%,"2,961,000"
BAFL,36.02,35.71,36.29,35.47,35.67,-0.35,-0.97%,"2,876,195"
FNEL,19.66,20.10,20.44,19.15,19.80,0.14,0.71%,"2,836,500"
ASTL,50.73,51.24,51.64,50.20,50.42,-0.31,-0.61%,"2,699,000"
NRSL,9.66,9.56,10.18,9.56,9.76,0.10,1.04%,"2,475,000"
DGKC,111.05,111.60,112.88,110.81,111.98,0.93,0.84%,"2,376,000"
SMBLDEF,2.00,2.08,2.18,2.08,2.14,0.14,7.00%,"2,243,000"
EFERTXD,61.30,61.69,61.75,60.85,61.01,-0.29,-0.47%,"2,176,161"
LOTCHEM,13.45,13.31,13.60,13.31,13.45,0.00,0.00%,"1,888,500"
LPL,13.75,13.50,13.95,13.50,13.84,0.09,0.65%,"1,874,500"
