SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
PTC,10.76,10.90,11.76,10.90,11.71,0.95,8.83%,"78,666,000"
UNITY,16.31,16.60,17.17,16.43,16.83,0.52,3.19%,"45,248,500"
HASCOL,22.40,22.99,23.00,21.95,22.09,-0.31,-1.38%,"35,002,500"
FFL,18.19,18.64,19.25,18.41,18.61,0.42,2.31%,"33,830,500"
PIBTL,13.57,13.79,13.88,13.25,13.35,-0.17,-1.26%,"20,531,500"
KEL,4.07,4.09,4.16,4.07,4.09,0.02,0.49%,"19,722,000"
EPCL,41.50,42.00,44.46,41.86,44.19,2.69,6.48%,"14,758,000"
KAPCO,29.72,30.40,30.98,29.11,29.97,0.25,0.84%,"13,941,500"
TRG,57.43,58.15,59.30,57.31,57.74,0.31,0.54%,"12,707,000"
LPL,13.84,13.93,14.87,13.93,14.87,1.03,7.44%,"9,829,000"
JSCL,30.27,31.10,31.30,28.00,28.06,-2.21,-7.30%,"9,629,500"
DCL,11.63,11.69,11.80,11.24,11.31,-0.32,-2.75%,"8,522,000"
ASTL,50.42,51.10,52.39,50.70,51.34,0.92,1.82%,"8,378,500"
POWER,9.74,9.85,9.95,9.61,9.67,-0.07,-0.72%,"8,030,500"
BYCO,11.16,11.34,11.60,10.95,11.06,-0.10,-0.90%,"7,993,000"
PRL,22.02,22.60,22.70,21.49,21.62,-0.40,-1.82%,"7,698,000"
MLCF,39.83,40.45,40.60,39.79,39.93,0.10,0.25%,"7,681,000"
NRSL,9.76,10.10,10.69,9.90,10.58,0.82,8.40%,"7,482,500"
FFBL,23.10,23.40,23.65,22.49,22.59,-0.51,-2.21%,"7,174,000"
SMBLDEF,2.14,2.11,2.15,1.85,2.07,-0.07,-3.27%,"7,087,500"
WTL,1.26,1.26,1.35,1.25,1.29,0.03,2.38%,"6,987,000"
MUGHAL,66.80,66.99,71.50,66.80,70.36,3.56,5.33%,"6,021,500"
PAEL,38.23,38.80,39.00,38.20,38.34,0.11,0.29%,"5,309,000"
JSBL,7.30,7.35,7.69,7.10,7.14,-0.16,-2.19%,"5,256,500"
FABL,17.78,17.69,17.95,17.60,17.85,0.07,0.39%,"5,201,500"
DGKC,111.98,113.49,113.52,112.25,112.97,0.99,0.88%,"5,098,000"
FNEL,19.80,20.85,21.10,19.90,20.08,0.28,1.41%,"5,015,000"
BOP,9.96,10.04,10.09,9.90,9.91,-0.05,-0.50%,"3,995,500"
ASC,20.13,20.40,21.11,20.00,20.84,0.71,3.53%,"3,810,500"
TELE,1.73,1.75,2.18,1.75,2.10,0.37,21.39%,"3,434,000"
LOTCHEM,13.45,13.50,13.70,13.36,13.43,-0.02,-0.15%,"3,093,500"
HUBC,84.71,85.15,86.01,84.50,84.70,-0.01,-0.01%,"2,913,711"
ISL,82.06,82.52,83.70,81.60,82.42,0.36,0.44%,"2,755,500"
WAVES,29.61,29.99,30.40,29.80,30.22,0.61,2.06%,"2,519,000"
FCCL,21.75,21.99,21.99,21.67,21.71,-0.04,-0.18%,"2,347,500"
SNGP,64.15,64.30,64.74,64.25,64.49,0.34,0.53%,"2,139,500"
DOL,46.61,47.25,48.35,45.56,47.69,1.08,2.32%,"2,004,500"
ILP,63.82,63.33,63.33,61.10,62.02,-1.80,-2.82%,"1,925,500"
NBP,41.06,41.15,41.60,40.90,41.44,0.38,0.93%,"1,908,000"
PREMA,21.31,21.65,22.24,21.31,21.54,0.11,0.51%,"1,886,000"
AVN,66.89,68.01,68.53,67.15,67.46,0.57,0.85%,"1,866,500"
STPL,13.47,13.67,13.70,13.38,13.45,-0.02,-0.15%,"1,813,500"
PPL,98.23,99.25,99.50,98.00,98.12,-0.11,-0.11%,"1,690,981"
TPLT,10.03,10.02,10.75,9.70,10.20,0.17,1.69%,"1,653,000"
MERIT,15.14,14.90,15.47,14.49,15.26,0.12,0.79%,"1,623,500"
EFERTXD,61.01,61.22,61.75,60.79,60.86,-0.15,-0.25%,"1,605,529"
INIL,159.43,160.90,163.01,158.98,161.57,2.14,1.34%,"1,603,500"
PSO,203.35,206.00,208.98,205.15,206.01,2.66,1.31%,"1,583,695"
DFMLDEF,8.26,8.40,9.05,8.40,8.69,0.43,5.21%,"1,493,000"
NETSOL,73.14,73.80,76.49,73.11,74.06,0.92,1.26%,"1,483,500"
GGL,16.34,16.69,16.95,16.31,16.53,0.19,1.16%,"1,480,000"
