SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
KEL,4.21,4.20,4.31,4.14,4.19,-0.02,-0.48%,"40,006,000"
UNITY,18.01,18.00,18.50,17.80,17.95,-0.06,-0.33%,"33,167,500"
HASCOL,21.04,20.92,21.39,20.70,20.95,-0.09,-0.43%,"32,105,500"
POWER,9.20,9.17,9.61,9.13,9.46,0.26,2.83%,"20,302,000"
PIBTL,13.47,13.33,13.60,13.12,13.26,-0.21,-1.56%,"19,052,500"
PTC,11.77,11.69,12.18,11.55,11.75,-0.02,-0.17%,"17,728,000"
JSCL,31.23,31.00,32.60,28.90,29.25,-1.98,-6.34%,"16,245,500"
ASL,15.97,15.90,16.57,15.70,16.21,0.24,1.50%,"15,781,000"
TRG,56.45,56.75,56.80,53.75,54.50,-1.95,-3.45%,"14,416,000"
FFL,17.59,17.64,18.20,17.11,17.21,-0.38,-2.16%,"11,286,000"
SILK,1.06,1.08,1.14,1.06,1.07,0.01,0.94%,"10,801,000"
FCCL,21.00,21.00,21.40,21.00,21.10,0.10,0.48%,"9,677,500"
FFBL,23.34,23.49,23.69,22.35,22.41,-0.93,-3.98%,"9,108,000"
MLCF,39.68,39.75,40.28,39.40,39.60,-0.08,-0.20%,"8,978,500"
BOP,9.81,9.81,9.90,9.60,9.80,-0.01,-0.10%,"8,839,500"
PRL,21.06,21.06,21.06,20.16,20.45,-0.61,-2.90%,"8,781,500"
BYCO,10.14,10.04,10.16,9.62,9.97,-0.17,-1.68%,"7,680,000"
PAEL,37.88,37.94,37.94,36.50,36.50,-1.38,-3.64%,"6,753,500"
DGKC,113.22,113.00,114.80,111.80,112.65,-0.57,-0.50%,"4,723,500"
EPCL,43.91,43.60,45.49,43.10,44.70,0.79,1.80%,"4,613,500"
ASC,20.08,20.05,20.74,19.76,20.54,0.43,2.14%,"4,598,500"
ILP,64.10,65.90,68.90,65.25,68.90,4.80,7.49%,"4,593,000"
PPL,95.08,94.95,94.95,92.04,92.99,-2.09,-2.20%,"3,680,337"
KAPCO,26.79,26.97,26.97,26.35,26.51,-0.28,-1.05%,"3,522,500"
TOMCL,30.95,31.25,32.30,29.15,31.25,0.30,0.97%,"3,439,500"
ASTL,46.57,46.50,46.75,44.36,45.65,-0.92,-1.98%,"3,342,000"
WTL,1.21,1.21,1.23,1.18,1.20,-0.01,-0.83%,"3,203,000"
