SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
BCL,76.00,77.30,77.30,73.50,73.50,-2.50,-3.29%,"3,500"
SHEZ,244.69,257.99,257.99,245.01,250.00,5.31,2.17%,"3,400"
MUREB,607.63,613.99,630.00,613.99,630.00,22.37,3.68%,"3,150"
BPL,38.01,37.75,37.75,37.50,37.50,-0.51,-1.34%,"3,000"
RICL,7.01,7.19,7.20,7.10,7.10,0.09,1.28%,"3,000"
SHNI,4.55,4.68,4.79,4.68,4.79,0.24,5.27%,"3,000"
KASBM,1.10,1.20,1.23,1.20,1.20,0.10,9.09%,"3,000"
IMSLDEF,14.00,13.86,13.86,13.81,13.81,-0.19,-1.36%,"2,500"
HINO,701.00,701.00,701.00,692.00,692.00,-9.00,-1.28%,"2,500"
NEXT,12.01,11.40,12.00,11.30,12.00,-0.01,-0.08%,"2,500"
HMB,35.50,34.51,35.75,34.51,35.75,0.25,0.70%,"2,500"
TATM,36.85,34.10,38.75,34.10,38.75,1.90,5.16%,"2,500"
GADT,225.46,224.00,225.00,224.00,225.00,-0.46,-0.20%,"2,400"
EFUL,202.75,210.00,213.40,210.00,210.00,7.25,3.58%,"2,100"
REDCO,6.69,6.65,6.65,6.50,6.50,-0.19,-2.84%,"2,000"
ABL,84.94,84.95,84.95,84.94,84.94,0.00,0.00%,"2,000"
PSYL,18.15,18.25,18.30,18.20,18.20,0.05,0.28%,"2,000"
OLPL,27.93,28.00,28.20,28.00,28.20,0.27,0.97%,"2,000"
ASTM,9.00,8.94,9.25,8.94,9.25,0.25,2.78%,"2,000"
ZIL,110.60,110.00,110.00,109.00,109.00,-1.60,-1.45%,"1,700"
JLICL,441.50,458.00,458.00,432.00,445.00,3.50,0.79%,"1,700"
GFIL,5.00,4.31,4.51,4.31,4.51,-0.49,-9.80%,"1,500"
ADAMSDEF,23.00,21.60,21.60,21.55,21.55,-1.45,-6.30%,"1,500"
MACFL,24.89,24.50,24.50,24.50,24.50,-0.39,-1.57%,"1,500"
SHSML,102.00,102.00,102.00,101.00,101.00,-1.00,-0.98%,"1,500"
APL,354.16,351.01,351.01,351.00,351.01,-3.15,-0.89%,"1,500"
HABSM,37.30,37.00,37.00,37.00,37.00,-0.30,-0.80%,"1,500"
BERG,91.50,92.38,92.38,90.58,91.00,-0.50,-0.55%,"1,500"
INDU,"1,363.66","1,360.00","1,380.00","1,360.00","1,380.00",16.34,1.20%,"1,350"
AABS,317.00,317.00,317.00,317.00,317.00,0.00,0.00%,"1,100"
RUBY,7.60,7.16,7.16,7.16,7.16,-0.44,-5.79%,"1,000"
PKGP,20.33,20.00,20.00,19.50,19.50,-0.83,-4.08%,"1,000"
BNWM,42.30,40.60,41.00,40.60,41.00,-1.30,-3.07%,"1,000"
JVDC,25.50,25.03,25.03,25.03,25.03,-0.47,-1.84%,"1,000"
MCBAH,31.00,30.95,30.95,30.95,30.95,-0.05,-0.16%,"1,000"
BIPLS,10.01,10.00,10.00,10.00,10.00,-0.01,-0.10%,"1,000"
ASHT,12.70,12.70,12.70,12.70,12.70,0.00,0.00%,"1,000"
JSIL,23.00,23.00,23.00,23.00,23.00,0.00,0.00%,"1,000"
DINT,49.50,50.50,50.50,50.00,50.00,0.50,1.01%,"1,000"
SHDT,36.62,37.50,37.50,37.50,37.50,0.88,2.40%,"1,000"
MARIXD,"1,446.32","1,450.00","1,450.00","1,420.77","1,435.00",-11.32,-0.78%,980
DLL,193.75,192.25,193.99,188.00,193.99,0.24,0.12%,900
SHFA,262.47,262.47,265.00,262.47,263.75,1.28,0.49%,800
SEPL,225.00,220.00,221.00,220.00,221.00,-4.00,-1.78%,700
BWCL,163.35,163.50,163.50,162.00,162.00,-1.35,-0.83%,600
PAKOXY,158.34,158.50,158.50,158.15,158.30,-0.04,-0.03%,600
SML,43.80,41.00,41.00,41.00,41.00,-2.80,-6.39%,500
LPGL,17.05,16.50,16.50,16.50,16.50,-0.55,-3.23%,500
ALNRS,47.00,46.00,46.00,46.00,46.00,-1.00,-2.13%,500
NICL,79.71,78.50,78.50,78.50,78.50,-1.21,-1.52%,500
HSM,19.25,19.00,19.00,19.00,19.00,-0.25,-1.30%,500
JSML,22.50,22.21,22.21,22.21,22.21,-0.29,-1.29%,500
EXIDE,363.54,362.00,362.00,360.03,360.03,-3.51,-0.97%,500
HMM,9.70,9.65,9.65,9.65,9.65,-0.05,-0.52%,500
UBLP-ETF,13.44,13.39,13.39,13.39,13.39,-0.05,-0.37%,500
JKSM,42.00,42.00,42.00,42.00,42.00,0.00,0.00%,500
SAIF,17.00,17.00,17.00,17.00,17.00,0.00,0.00%,500
ATIL,58.70,59.00,59.00,59.00,59.00,0.30,0.51%,500
FNBMDEF,1.25,1.29,1.29,1.29,1.29,0.04,3.20%,500
KML,40.93,42.40,42.40,42.40,42.40,1.47,3.59%,500
JDMT,91.00,97.00,97.00,97.00,97.00,6.00,6.59%,500
CWSM,2.11,2.26,2.26,2.26,2.26,0.15,7.11%,500
BWHL,65.11,69.99,69.99,69.99,69.99,4.88,7.50%,500
ABOTXD,770.11,776.00,777.00,761.10,761.10,-9.01,-1.17%,400
SRVI,740.00,744.75,744.75,744.75,745.00,4.75,0.64%,250
SIEM,597.91,590.00,595.00,590.00,595.00,-2.91,-0.49%,200
ILTM,968.17,968.17,"1,040.78",968.17,"1,040.78",72.61,7.50%,200
ICIXD,741.63,744.00,744.00,738.00,738.00,-3.63,-0.49%,150
HAFL,95.75,88.57,88.57,88.57,88.57,-7.18,-7.50%,100
SFL,706.37,692.00,692.00,692.00,692.00,-14.37,-2.03%,100
ARPL,600.00,590.00,590.00,590.00,590.00,-10.00,-1.67%,100
HINOON,643.08,640.00,640.00,640.00,640.00,-3.08,-0.48%,100
ATLH,428.00,430.00,430.00,430.00,430.00,2.00,0.47%,100
TICL,258.08,260.00,260.00,260.00,260.00,1.92,0.74%,100
IGIHL,225.08,229.94,229.94,229.94,229.94,4.86,2.16%,100
SAPT,904.99,892.00,892.00,892.00,892.00,-12.99,-1.44%,50
COLGXDXB,"3,071.83","3,000.00","3,000.00","3,000.00","3,000.00",-71.83,-2.34%,20
PAKT,"1,700.00","1,675.00","1,675.00","1,675.00","1,675.00",-25.00,-1.47%,20
NESTLE,"6,993.33","6,925.00","6,925.00","6,925.00","6,925.00",-68.33,-0.98%,20
BATA,"1,650.94","1,650.00","1,650.00","1,650.00","1,650.00",-0.94,-0.06%,20
