SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
ASL,14.51,14.60,15.59,14.60,15.19,0.68,4.69%,"43,921,000"
UNITY,18.09,18.50,19.30,18.50,18.85,0.76,4.20%,"36,862,000"
FFL,19.32,19.34,19.75,19.05,19.34,0.02,0.10%,"24,612,000"
PIBTL,13.98,14.14,14.18,13.58,13.74,-0.24,-1.72%,"24,322,000"
KEL,4.28,4.30,4.47,4.26,4.26,-0.02,-0.47%,"22,083,500"
HASCOL,22.02,21.90,22.09,21.65,21.77,-0.25,-1.14%,"10,468,000"
PSX,16.41,16.50,17.50,16.15,16.79,0.38,2.32%,"9,142,000"
NBP,41.02,41.00,41.14,40.53,40.65,-0.37,-0.90%,"6,813,000"
KAPCO,28.10,28.00,28.05,27.31,27.43,-0.67,-2.38%,"6,291,500"
PRL,22.35,22.19,22.45,21.62,21.72,-0.63,-2.82%,"6,155,000"
ASC,19.94,20.10,20.79,19.76,20.40,0.46,2.31%,"4,963,000"
FFBL,23.03,23.08,23.10,22.55,22.69,-0.34,-1.48%,"4,905,500"
TRG,57.45,57.50,57.85,55.80,56.50,-0.95,-1.65%,"4,587,000"
NCL,40.58,40.50,42.02,40.50,41.10,0.52,1.28%,"4,522,000"
POWER,9.42,9.46,9.50,9.30,9.40,-0.02,-0.21%,"4,100,500"
JSBL,7.14,7.10,7.18,6.80,6.87,-0.27,-3.78%,"4,038,000"
BYCO,10.85,10.79,10.85,10.53,10.58,-0.27,-2.49%,"3,640,000"
PTC,11.63,11.52,11.70,11.43,11.56,-0.07,-0.60%,"3,458,500"
THCCL,21.56,23.00,23.17,21.90,23.17,1.61,7.47%,"3,141,500"
PREMA,23.15,23.90,24.18,22.99,23.00,-0.15,-0.65%,"2,929,000"
DCL,11.17,11.25,11.62,11.05,11.50,0.33,2.95%,"2,891,500"
BOP,9.85,9.86,9.91,9.77,9.80,-0.05,-0.51%,"2,861,000"
PAEL,38.21,38.29,38.51,37.90,38.05,-0.16,-0.42%,"2,718,500"
MLCF,39.48,39.48,39.60,38.98,39.05,-0.43,-1.09%,"2,580,500"
SNGP,63.95,63.76,65.70,63.65,64.55,0.60,0.94%,"2,369,000"
FCCL,21.54,21.54,21.59,21.30,21.35,-0.19,-0.88%,"2,196,500"
JSCL,28.52,28.15,28.55,27.30,27.60,-0.92,-3.23%,"2,014,500"
PIAA,5.31,5.35,5.36,5.20,5.25,-0.06,-1.13%,"1,750,000"
DSLDEF,4.95,5.10,5.34,4.90,5.03,0.08,1.62%,"1,737,500"
WAVES,30.48,30.35,31.20,30.00,30.80,0.32,1.05%,"1,719,500"
DFMLDEF,9.32,9.50,10.05,9.43,9.60,0.28,3.00%,"1,616,500"
SMBLDEF,2.07,2.03,2.18,1.98,2.09,0.02,0.97%,"1,563,000"
CLOV,112.44,114.99,114.99,104.11,105.11,-7.33,-6.52%,"1,445,500"
STCL,12.87,13.00,13.60,12.99,13.24,0.37,2.87%,"1,431,500"
FNEL,19.61,19.60,20.39,19.60,19.85,0.24,1.22%,"1,333,000"
NML,106.07,107.20,107.60,103.50,103.99,-2.08,-1.96%,"1,250,500"
SILK,1.10,1.09,1.14,1.09,1.09,-0.01,-0.91%,"1,233,500"
UBL,128.93,129.95,129.95,127.20,127.23,-1.70,-1.32%,"1,227,454"
BGL,8.12,8.15,8.65,8.05,8.28,0.16,1.97%,"1,216,500"
PPL,98.71,98.35,98.98,97.91,98.00,-0.71,-0.72%,"1,133,755"
SSGC,17.10,17.10,17.45,16.86,17.19,0.09,0.53%,"1,057,000"
CSIL,3.44,3.58,3.59,3.40,3.47,0.03,0.87%,"993,500"
EPCL,43.20,42.70,44.15,42.70,43.25,0.05,0.12%,"982,000"
LOADS,21.58,21.61,22.25,21.05,21.20,-0.38,-1.76%,"914,000"
TOMCL,30.55,30.61,30.80,29.55,29.80,-0.75,-2.45%,"890,500"
WTL,1.27,1.29,1.29,1.25,1.26,-0.01,-0.79%,"877,000"
DGKC,112.03,111.01,112.50,110.50,111.30,-0.73,-0.65%,"873,500"
SPEL,46.82,47.10,49.51,47.10,48.30,1.48,3.16%,"833,000"
LPL,14.78,14.51,15.10,14.51,14.57,-0.21,-1.42%,"786,000"
STPL,13.32,13.55,13.70,13.25,13.40,0.08,0.60%,"775,500"
AVN,66.99,67.00,67.00,65.30,66.00,-0.99,-1.48%,"713,500"
ITTEFAQ,15.76,15.99,16.49,15.65,16.10,0.34,2.16%,"701,000"
ASTL,50.90,51.05,51.06,50.31,50.31,-0.59,-1.16%,"696,500"
GHNI,282.70,283.00,287.85,280.01,282.05,-0.65,-0.23%,"654,200"
TREET,27.39,27.41,27.90,27.26,27.30,-0.09,-0.33%,"645,000"
HCAR,305.44,305.02,328.00,304.00,318.00,12.56,4.11%,"630,000"
ESBL,13.91,14.00,14.95,14.00,14.10,0.19,1.37%,"584,000"
TPL,6.46,6.40,6.40,6.19,6.28,-0.17,-2.64%,"571,000"
ISL,83.04,83.10,83.44,82.12,82.16,-0.88,-1.06%,"550,000"
PSO,207.22,207.10,207.99,204.50,204.99,-2.23,-1.08%,"523,877"
TRPOL,10.09,10.11,10.28,9.99,10.23,0.14,1.39%,"519,000"
MEBLXB,84.80,84.50,84.80,83.53,83.59,-1.21,-1.43%,"515,000"
GLAXO,183.57,184.00,188.40,183.00,186.50,2.93,1.60%,"465,100"
AGL,5.46,5.47,5.58,5.37,5.39,-0.07,-1.28%,"464,500"
KOSM,2.78,2.80,2.80,2.70,2.79,0.01,0.36%,"459,000"
EFERTXD,60.85,60.69,60.90,60.50,60.59,-0.26,-0.43%,"458,863"
RPL,39.44,38.51,39.50,38.02,38.51,-0.93,-2.36%,"456,000"
GATM,39.01,39.50,39.60,38.80,39.00,-0.01,-0.03%,"445,000"
LOTCHEM,13.36,13.27,13.37,13.21,13.25,-0.11,-0.82%,"440,500"
OGDC,112.35,112.45,112.45,110.55,110.87,-1.48,-1.32%,"418,571"
QUICE,5.82,5.82,5.90,5.70,5.70,-0.12,-2.06%,"414,500"
NRSL,10.40,10.30,10.40,10.03,10.05,-0.35,-3.37%,"412,500"
TELE,2.09,2.06,2.06,1.99,2.00,-0.09,-4.31%,"410,000"
MDTL,1.69,1.79,1.79,1.55,1.60,-0.09,-5.33%,"403,000"
ICIBL,1.14,1.14,1.14,1.06,1.09,-0.05,-4.39%,"379,000"
PACE,3.81,3.75,3.77,3.65,3.70,-0.11,-2.89%,"372,500"
MODAM,6.00,7.00,7.00,6.84,7.00,1.00,16.67%,"369,500"
DOL,47.67,47.75,47.95,46.87,47.49,-0.18,-0.38%,"351,500"
MFL,25.18,24.98,25.45,24.60,24.85,-0.33,-1.31%,"345,500"
HUMNL,8.45,8.47,8.58,8.40,8.40,-0.05,-0.59%,"337,000"
ECOP,19.92,20.25,20.50,19.80,20.05,0.13,0.65%,"315,000"
TPLP,10.61,10.70,10.70,10.29,10.48,-0.13,-1.23%,"297,000"
PASL,1.12,1.13,1.15,1.10,1.12,0.00,0.00%,"283,500"
HUBC,84.57,84.50,85.10,83.90,84.12,-0.45,-0.53%,"275,650"
BAHL,65.83,65.28,65.83,65.28,65.40,-0.43,-0.65%,"264,255"
NCPL,14.89,14.71,15.00,14.62,14.94,0.05,0.34%,"260,500"
PSMC,230.05,228.05,235.85,226.50,231.25,1.20,0.52%,"259,900"
POL,433.95,435.00,438.00,433.01,434.99,1.04,0.24%,"251,833"
MERIT,15.28,15.30,15.48,15.04,15.05,-0.23,-1.51%,"237,500"
NETSOL,72.97,73.01,73.50,72.00,72.05,-0.92,-1.26%,"232,000"
HTL,45.52,45.45,46.45,45.00,45.11,-0.41,-0.90%,"223,500"
SERF,8.47,8.58,8.65,8.35,8.55,0.08,0.94%,"222,500"
SPL,26.27,26.35,27.00,26.00,26.20,-0.07,-0.27%,"220,000"
LUCK,661.38,660.00,661.99,655.00,659.94,-1.43,-0.22%,"218,892"
ATRL,166.33,167.48,167.48,163.00,164.01,-2.32,-1.39%,"214,500"
NRL,202.39,202.70,203.00,199.00,200.00,-2.39,-1.18%,"213,200"
GTYR,74.74,74.41,75.06,74.00,74.35,-0.39,-0.52%,"212,500"
MUGHAL,70.03,70.00,70.00,68.76,68.76,-1.27,-1.81%,"211,000"
FDIBL,2.51,2.68,2.68,2.48,2.48,-0.03,-1.20%,"206,500"
GHNL,102.59,101.50,103.60,99.61,100.97,-1.62,-1.58%,"202,000"
DCR,11.00,11.10,11.10,11.00,11.00,0.00,0.00%,"199,000"
INIL,162.82,160.56,162.00,159.50,160.30,-2.52,-1.55%,"192,500"
SINDM,11.75,12.10,12.50,11.90,12.00,0.25,2.13%,"192,500"
EFGH,28.55,27.75,28.20,26.41,26.85,-1.70,-5.95%,"191,000"
SAZEW,172.38,172.05,172.90,169.50,170.00,-2.38,-1.38%,"187,000"
GAIL,6.90,6.90,6.96,6.70,6.70,-0.20,-2.90%,"184,500"
PIOC,96.52,95.80,96.48,95.51,95.55,-0.97,-1.00%,"184,000"
GGL,16.53,16.36,16.49,16.24,16.27,-0.26,-1.57%,"182,500"
UCAPMDEF,1.04,1.02,1.22,1.02,1.15,0.11,10.58%,"181,000"
CHCC,130.09,131.00,131.77,128.50,129.05,-1.04,-0.80%,"175,000"
GGGL,14.93,15.00,15.15,14.90,14.96,0.03,0.20%,"153,500"
ILP,62.05,62.00,63.00,61.55,62.25,0.20,0.32%,"148,000"
BAFL,35.92,35.80,35.99,35.75,35.82,-0.10,-0.28%,"146,546"
KOIL,5.22,5.11,5.16,5.00,5.10,-0.12,-2.30%,"140,000"
BIPL,11.12,10.85,11.05,10.85,10.90,-0.22,-1.98%,"137,000"
SEARL,268.94,268.30,269.50,267.50,268.00,-0.94,-0.35%,"135,500"
FCSC,1.74,1.87,1.87,1.70,1.75,0.01,0.57%,"131,500"
ENGROXD,306.53,307.00,307.00,303.10,303.64,-2.89,-0.94%,"127,866"
NATF,282.91,287.00,296.89,284.00,288.11,5.20,1.84%,"122,300"
HGFA,10.70,10.40,10.40,9.80,10.00,-0.70,-6.54%,"117,500"
DFSM,2.08,1.95,2.10,1.94,2.01,-0.07,-3.37%,"116,500"
TGL,94.45,94.45,94.49,93.05,93.25,-1.20,-1.27%,"114,000"
RICL,7.01,7.19,7.20,7.00,7.00,-0.01,-0.14%,"111,000"
MCB,178.84,178.98,178.98,177.50,178.45,-0.39,-0.22%,"102,757"
FCEPL,87.05,86.01,87.00,85.30,85.50,-1.55,-1.78%,"102,500"
IGIL,42.00,42.00,43.50,42.00,43.50,1.50,3.57%,"96,500"
AKBL,19.31,19.30,19.35,19.13,19.35,0.04,0.21%,"92,500"
FFCXD,111.66,111.60,111.60,110.32,110.50,-1.16,-1.04%,"84,110"
CRTM,22.23,21.92,22.25,21.92,22.00,-0.23,-1.03%,"84,000"
SKRS,10.05,10.06,10.14,9.71,9.72,-0.33,-3.28%,"83,000"
CEPB,118.95,118.10,119.00,117.20,117.20,-1.75,-1.47%,"82,500"
KTML,60.43,62.90,62.90,60.00,60.10,-0.33,-0.55%,"82,500"
SMCPL,8.34,8.73,8.73,8.38,8.40,0.06,0.72%,"82,000"
ANL,20.44,20.49,20.50,20.15,20.23,-0.21,-1.03%,"79,000"
DKLDEF,5.01,5.00,5.08,4.95,4.95,-0.06,-1.20%,"78,000"
HBL,134.22,134.49,134.49,132.80,133.50,-0.72,-0.54%,"72,107"
SHEL,248.73,245.02,247.50,244.02,244.85,-3.88,-1.56%,"66,900"
PMI,1.52,1.66,1.66,1.40,1.57,0.05,3.29%,"65,500"
