SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
ASL,14.51,14.60,15.59,14.60,15.31,0.80,5.51%,"58,749,000"
UNITY,18.09,18.50,19.30,17.95,18.20,0.11,0.61%,"48,200,000"
FFL,19.32,19.34,19.75,18.00,18.44,-0.88,-4.55%,"35,992,000"
PIBTL,13.98,14.14,14.18,13.45,13.60,-0.38,-2.72%,"34,607,500"
KEL,4.28,4.30,4.47,4.22,4.30,0.02,0.47%,"29,596,000"
HASCOL,22.02,21.90,22.09,21.41,21.52,-0.50,-2.27%,"17,265,000"
ASC,19.94,20.10,21.24,19.76,20.69,0.75,3.76%,"10,593,500"
PSX,16.41,16.50,17.50,16.15,16.50,0.09,0.55%,"10,387,500"
NBP,41.02,41.00,41.14,40.45,40.65,-0.37,-0.90%,"9,138,500"
PRL,22.35,22.19,22.45,21.15,21.20,-1.15,-5.15%,"9,000,500"
KAPCO,28.10,28.00,28.05,27.30,27.30,-0.80,-2.85%,"8,301,000"
PTC,11.63,11.52,11.88,11.43,11.60,-0.03,-0.26%,"8,119,000"
TRG,57.45,57.50,57.85,55.80,56.39,-1.06,-1.85%,"7,215,000"
FFBL,23.03,23.08,23.10,22.15,22.35,-0.68,-2.95%,"6,963,500"
AVN,66.99,67.00,72.01,65.30,72.01,5.02,7.49%,"5,268,500"
POWER,9.42,9.46,9.50,9.30,9.39,-0.03,-0.32%,"5,223,000"
JSBL,7.14,7.10,7.18,6.80,6.87,-0.27,-3.78%,"5,151,000"
BYCO,10.85,10.79,10.85,10.52,10.55,-0.30,-2.76%,"5,076,500"
NCL,40.58,40.50,42.02,40.50,41.00,0.42,1.03%,"4,907,500"
JSCL,28.52,28.15,28.55,26.65,26.90,-1.62,-5.68%,"4,850,000"
BOP,9.85,9.86,9.91,9.70,9.75,-0.10,-1.02%,"4,759,500"
PAEL,38.21,38.29,38.51,37.90,38.30,0.09,0.24%,"4,296,000"
MLCF,39.48,39.48,39.60,38.94,39.05,-0.43,-1.09%,"3,699,000"
PREMA,23.15,23.90,24.18,22.65,22.70,-0.45,-1.94%,"3,602,000"
DCL,11.17,11.25,11.62,11.05,11.33,0.16,1.43%,"3,474,500"
THCCL,21.56,23.00,23.17,21.90,23.17,1.61,7.47%,"3,173,000"
STCL,12.87,13.00,13.87,12.99,13.87,1.00,7.77%,"3,003,500"
FCCL,21.54,21.54,21.59,21.30,21.31,-0.23,-1.07%,"2,791,000"
SNGP,63.95,63.76,65.70,63.65,64.40,0.45,0.70%,"2,697,000"
DSLDEF,4.95,5.10,5.34,4.90,5.14,0.19,3.84%,"2,331,500"
DFMLDEF,9.32,9.50,10.05,9.01,9.06,-0.26,-2.79%,"2,273,000"
PIAA,5.31,5.35,5.36,5.15,5.24,-0.07,-1.32%,"2,243,500"
EPCL,43.20,42.70,44.15,42.70,44.01,0.81,1.88%,"2,223,500"
SMBLDEF,2.07,2.03,2.18,1.98,2.06,-0.01,-0.48%,"2,189,500"
WAVES,30.48,30.35,31.20,30.00,30.50,0.02,0.07%,"2,068,000"
WTL,1.27,1.29,1.29,1.23,1.24,-0.03,-2.36%,"1,996,000"
CLOV,112.44,114.99,114.99,104.01,104.01,-8.43,-7.50%,"1,824,500"
SPEL,46.82,47.10,50.33,47.10,50.33,3.51,7.50%,"1,751,500"
FNEL,19.61,19.60,20.39,19.56,19.62,0.01,0.05%,"1,721,000"
