SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
HASCOL,20.50,20.56,22.03,20.24,21.70,1.20,5.85%,"50,223,500"
UNITY,17.45,17.46,17.79,17.25,17.47,0.19,1.10%,"22,625,000"
KEL,4.21,4.21,4.28,4.16,4.23,0.02,0.48%,"21,172,500"
PIBTL,12.56,12.65,13.00,12.17,12.91,0.35,2.79%,"16,901,500"
TRG,53.03,53.75,55.79,53.26,55.00,1.97,3.71%,"16,655,500"
PRL,19.13,19.01,20.56,18.32,20.01,0.88,4.60%,"16,100,000"
MLCF,36.15,36.01,37.10,35.66,36.77,0.62,1.72%,"14,359,500"
BYCO,10.15,10.22,11.15,10.01,10.95,0.80,7.88%,"12,935,000"
BOP,9.70,9.67,10.02,9.67,9.94,0.24,2.47%,"10,684,500"
FFL,16.14,15.90,16.70,15.78,16.45,0.31,1.92%,"9,612,500"
POWER,8.97,9.01,9.14,8.70,9.09,0.12,1.34%,"8,869,500"
PTC,11.20,11.17,11.45,10.90,11.25,0.05,0.45%,"7,110,000"
PAEL,34.15,34.20,34.95,33.70,34.65,0.50,1.46%,"5,712,500"
ASL,15.83,15.75,16.15,15.40,16.02,0.19,1.20%,"5,259,000"
DGKC,104.31,104.40,105.90,102.00,105.00,0.69,0.66%,"4,840,000"
AVN,62.38,62.70,67.05,62.70,67.00,4.62,7.41%,"4,741,500"
ASC,20.01,20.25,20.50,19.41,20.02,0.01,0.05%,"4,222,000"
PSO,202.43,201.51,206.90,196.00,205.33,2.90,1.43%,"4,103,864"
KAPCO,26.50,26.50,27.18,26.25,27.01,0.51,1.92%,"4,099,500"
SSGC,15.41,15.41,16.56,15.41,16.56,1.15,7.46%,"3,649,500"
FCCL,20.10,20.05,20.24,19.75,20.18,0.08,0.40%,"3,624,000"
JSBL,6.80,6.80,7.24,6.70,7.12,0.32,4.71%,"3,609,000"
ASTL,42.77,43.24,45.30,42.76,44.75,1.98,4.63%,"3,568,000"
SILK,1.01,1.05,1.06,1.01,1.06,0.05,4.95%,"3,484,500"
SNGP,62.49,60.75,63.39,60.20,62.89,0.40,0.64%,"3,221,500"
JSCL,26.81,27.20,27.74,26.51,27.43,0.62,2.31%,"3,184,000"
ISL,78.91,79.26,80.60,77.50,80.10,1.19,1.51%,"2,647,000"
SEARL,264.17,253.00,260.99,250.04,259.34,-4.83,-1.83%,"2,613,200"
WTL,1.12,1.16,1.18,1.10,1.17,0.05,4.46%,"2,495,000"
FFBL,20.51,20.50,21.10,20.20,20.98,0.47,2.29%,"2,051,500"
EPCL,41.52,41.52,42.55,40.12,42.26,0.74,1.78%,"2,040,000"
HUBC,79.76,80.00,81.50,78.25,80.39,0.63,0.79%,"2,032,475"
NETSOL,59.90,60.11,64.39,59.05,63.58,4.49,7.60%,"1,897,000"
ATRL,146.32,146.90,153.88,143.00,150.12,6.67,4.65%,"1,743,500"
ITTEFAQ,16.95,16.55,17.25,16.55,17.03,0.08,0.47%,"1,698,000"
STPL,13.22,13.04,13.64,13.04,13.51,0.29,2.19%,"1,677,500"
UBL,119.07,119.50,120.50,116.03,119.93,0.86,0.72%,"1,655,523"
PPL,91.84,92.01,93.45,91.61,92.96,1.61,1.76%,"1,647,417"
GHNI,248.73,247.20,257.00,243.00,253.67,4.94,1.99%,"1,524,500"
OGDC,104.09,104.59,106.00,104.50,105.54,1.45,1.39%,"1,509,007"
PREMA,20.09,20.30,21.59,20.30,21.59,1.50,7.47%,"1,509,000"
MEBL,78.95,79.01,81.00,79.00,80.47,1.52,1.93%,"1,499,500"
NCPL,13.73,13.69,14.05,13.63,13.82,0.09,0.66%,"1,477,500"
PACE,3.24,3.44,3.50,3.12,3.44,0.20,6.17%,"1,424,000"
BIPL,10.53,10.75,11.08,10.33,11.00,0.47,4.46%,"1,386,500"
DCL,10.25,10.25,10.45,9.95,10.26,0.18,1.79%,"1,366,000"
PIOC,90.41,93.00,93.88,88.20,92.55,2.14,2.37%,"1,228,000"
NBP,39.53,39.30,40.58,39.30,40.44,0.91,2.30%,"1,182,000"
TOMCL,29.30,29.49,30.00,28.70,29.94,0.64,2.18%,"1,175,500"
ANL,17.83,17.66,18.20,17.01,18.03,0.20,1.12%,"1,173,500"
FNEL,18.49,18.75,19.87,18.00,18.87,0.38,2.06%,"1,167,500"
EFERT,61.32,61.16,62.00,60.91,61.49,0.17,0.28%,"1,161,109"
ENGROXD,301.25,302.90,307.50,299.00,306.57,5.32,1.77%,"1,158,387"
LOTCHEM,11.95,12.05,12.20,11.91,12.16,0.21,1.76%,"1,150,000"
CHCC,123.05,124.40,124.77,119.00,120.79,-2.26,-1.84%,"1,089,500"
PASL,0.94,0.98,1.00,0.94,0.99,0.05,5.32%,"1,067,000"
PSX,14.72,14.50,15.82,14.50,15.81,1.09,7.40%,"1,001,500"
LUCK,643.52,643.00,665.00,635.01,656.41,12.89,2.00%,"981,022"
ICIBL,0.98,1.00,1.04,0.96,1.00,0.02,2.04%,"955,000"
HUMNL,7.61,7.78,7.98,7.51,7.91,0.30,3.94%,"954,500"
SMBLDEF,1.95,1.92,2.01,1.85,1.90,-0.05,-2.56%,"948,000"
NRL,183.81,183.00,190.15,178.50,187.60,3.79,2.06%,"937,100"
DAWHXD,126.91,125.01,128.94,123.03,126.81,-0.10,-0.08%,"911,300"
DSLDEF,4.40,4.45,4.75,4.34,4.66,0.26,5.91%,"903,500"
FFC,109.03,109.00,109.80,108.20,109.20,0.17,0.16%,"870,684"
NML,103.78,103.02,105.01,100.99,104.39,0.61,0.59%,"846,500"
BAFL,34.39,34.50,35.56,34.50,35.28,0.89,2.59%,"835,145"
GGL,14.12,13.91,14.65,13.80,14.48,0.36,2.55%,"810,500"
MUGHAL,63.61,64.00,64.99,62.90,64.75,1.14,1.79%,"788,000"
PIAA,4.75,4.81,4.90,4.75,4.88,0.13,2.74%,"781,500"
TREET,23.93,24.49,24.49,23.45,24.12,0.19,0.79%,"748,000"
INIL,147.92,148.80,151.00,144.00,150.06,2.14,1.45%,"723,000"
GATM,37.44,37.40,38.00,37.20,37.53,0.09,0.24%,"713,500"
THCCL,21.61,22.50,22.50,20.80,21.47,-0.14,-0.65%,"709,500"
NRSL,9.28,9.26,9.55,9.11,9.46,0.18,1.94%,"692,500"
HTL,42.03,42.03,45.18,41.25,44.81,2.78,6.61%,"630,000"
SAZEW,175.67,174.01,181.50,174.01,180.73,5.06,2.88%,"583,500"
AGL,4.97,4.99,5.15,4.99,5.07,0.10,2.01%,"577,000"
GWLC,25.00,24.10,25.15,23.91,24.95,-0.05,-0.20%,"546,000"
DOL,45.67,45.50,46.46,44.49,46.20,0.53,1.16%,"541,000"
WAVES,26.85,26.90,27.70,26.60,27.55,0.70,2.61%,"537,000"
SHEL,245.97,243.55,252.80,238.55,251.04,6.03,2.46%,"528,400"
ILP,65.89,66.00,70.00,65.00,69.21,3.32,5.04%,"520,000"
SKRS,9.04,9.12,9.65,8.80,9.07,0.03,0.33%,"488,000"
